#,qa_id,level,metric,answer_type,question,dataset_answer,files_to_check,my_answer,verdict,disagree_type,memo
18,BGP_AS_DISTRIBUTION,L3,bgp_as_distribution,text,"각 AS별 장비 수 분포를 알려주세요. [답변 형식: 'AS X: N대, AS Y: M대']","""AS 65000: 2 devices""",,,,,
19,COMPARE_BGP_AS_leaf2_p3,L3,compare_bgp_as,text,"leaf2와 p3의 BGP Local AS 번호를 각각 알려주세요. [답변 형식: 'leaf2: AS X, p3: AS Y']","""leaf2: AS N/A, p3: AS N/A""",,,,,
20,COMPARE_BGP_NEIGHBOR_COUNT_leaf2_leaf3,L3,compare_bgp_neighbor_count,map_str_int,"leaf2와 leaf3의 BGP 피어 수를 비교하세요. [답변 형식: JSON {{""host1_count"": <int>, ""host2_count"": <int>, ""difference"": <int>}}]","{""difference"": 0, ""host1_count"": 0, ""host2_count"": 0}",,,,,
21,COMPARE_INTERFACE_COUNT_leaf1_p1,L3,compare_interface_count,map_str_int,"leaf1과 p1의 인터페이스 수를 비교하세요. [답변 형식: JSON {{""host1_count"": <int>, ""host2_count"": <int>, ""difference"": <int>}}]","{""difference"": 1, ""host1_count"": 4, ""host2_count"": 5}",,,,,
22,COMPARE_OSPF_AREAS_leaf3_p4,L3,compare_ospf_areas,text,"leaf3과 p4가 참여하는 OSPF Area 목록을 각각 알려주세요. [답변 형식: 'leaf3: Area 0, 1, p4: Area 0, 2']","""leaf3: Area None, p4: Area 0""",,,,,
23,COMPARE_VRF_COUNT_leaf2_p1,L3,compare_vrf_count,map_str_int,"leaf2와 p1의 VRF 수를 비교하세요. [답변 형식: JSON {{""host1_count"": <int>, ""host2_count"": <int>, ""difference"": <int>}}]","{""difference"": 0, ""host1_count"": 0, ""host2_count"": 0}",,,,,
24,IBGP_MISSING_PAIRS_65000,L3,ibgp_missing_pairs,set,AS 65000의 iBGP Full-Mesh에서 누락된 장비쌍 목록을 알려주세요. [답변 형식: 리스트],[],,,,,
25,IBGP_MISSING_PAIRS_COUNT_65000,L3,ibgp_missing_pairs_count,number,AS 65000의 iBGP Full-Mesh에서 누락된 링크는 총 몇 개입니까? [답변 형식: 숫자],0,,,,,
26,IBGP_UNDER_PEERED_COUNT_65000,L3,ibgp_under_peered_count,number,AS 65000에서 iBGP 피어 수가 부족한 장비는 총 몇 대입니까? [답변 형식: 숫자],0,,,,,
27,IBGP_UNDER_PEERED_DEVICES_65000,L3,ibgp_under_peered_devices,set,AS 65000에서 iBGP 피어 수가 부족한 장비 목록을 알려주세요. [답변 형식: 리스트],[],,,,,
28,L2VPN_MISMATCH_COUNT,L3,l2vpn_mismatch_count,number,PW-ID 불일치 또는 단방향 L2VPN 회선은 총 몇 개입니까? [답변 형식: 숫자],0,,,,,
29,L2VPN_PWID_MISMATCH_PAIRS,L3,l2vpn_pwid_mismatch_pairs,set,PW-ID가 불일치하는 L2VPN 회선(장비쌍) 목록을 알려주세요. [답변 형식: 리스트],[],,,,,
30,L2VPN_UNIDIRECTIONAL_PAIRS,L3,l2vpn_unidirectional_pairs,set,단방향으로만 설정된 L2VPN 회선(장비쌍) 목록을 알려주세요. [답변 형식: 리스트],[],,,,,
31,L2VPN_UNIDIR_COUNT,L3,l2vpn_unidir_count,number,단방향으로만 설정된 L2VPN 회선은 총 몇 개입니까? [답변 형식: 숫자],0,,,,,
32,MAX_BGP_PEER_DEVICE,L3,max_bgp_peer_device,text,BGP 피어가 가장 많은 장비와 그 개수를 알려주세요. [답변 형식: '장비명: N개'],"""pe1: 1""",,,,,
33,MAX_INTERFACE_DEVICE,L3,max_interface_device,text,인터페이스 수가 가장 많은 장비와 그 개수를 알려주세요. [답변 형식: '장비명: N개'],"""p1: 5""",,,,,
34,MIN_INTERFACE_DEVICE,L3,min_interface_device,text,인터페이스 수가 가장 적은 장비와 그 개수를 알려주세요. [답변 형식: '장비명: N개'],"""leaf1: 4""",,,,,
35,VRF_RT_LIST_PER_DEVICE_p4,L3,vrf_rt_list_per_device,set,p4 장비에 설정된 route-target(중복 제거) 전체 목록을 알려주세요. [답변 형식: 리스트],[],,,,,
36,VRF_RT_LIST_PER_DEVICE_pe2,L3,vrf_rt_list_per_device,set,pe2 장비에 설정된 route-target(중복 제거) 전체 목록을 알려주세요. [답변 형식: 리스트],"[""65000:1"", ""65000:2"", ""65000:3""]",,,,,
37,VRF_USAGE_STATISTICS,L3,vrf_usage_statistics,text,"VRF 사용중인 장비 중에서 각 장비별 VRF 사용 수를 알려주세요. [답변 형식: '장비1: N개, 장비2: M개']","""leaf1: 0, leaf2: 0, leaf3: 0, leaf4: 0, p1: 0, p2: 0, p3: 0, p4: 0, pe1: 3, pe2: 3""",,,,,
38,VRF_WITHOUT_RT_COUNT,L3,vrf_without_rt_count,number,route-target이 없는 VRF(장비/VRF)는 총 몇 개입니까? [답변 형식: 숫자],0,,,,,
39,VRF_WITHOUT_RT_PAIRS,L3,vrf_without_rt_pairs,set,route-target이 없는 VRF(장비/VRF) 목록을 알려주세요. [답변 형식: 리스트],[],,,,,
