#,qa_id,level,metric,answer_type,question,dataset_answer,files_to_check,my_answer,verdict,disagree_type,memo
20,COMPARE_INTERFACE_COUNT_leaf5_pe3,L3,compare_interface_count,map_str_int,"leaf5와 pe3의 인터페이스 수를 비교하세요. [답변 형식: JSON {{""host1_count"": <int>, ""host2_count"": <int>, ""difference"": <int>}}]","{""difference"": 4, ""host1_count"": 2, ""host2_count"": 6}",,,,,
21,COMPARE_OSPF_AREAS_leaf7_p5,L3,compare_ospf_areas,text,"leaf7과 p5가 참여하는 OSPF Area 목록을 각각 알려주세요. [답변 형식: 'leaf7: Area 0, 1, p5: Area 0, 2']","""leaf7: Area None, p5: Area 0""",,,,,
22,COMPARE_VRF_COUNT_leaf8_p9,L3,compare_vrf_count,map_str_int,"leaf8과 p9의 VRF 수를 비교하세요. [답변 형식: JSON {{""host1_count"": <int>, ""host2_count"": <int>, ""difference"": <int>}}]","{""difference"": 0, ""host1_count"": 0, ""host2_count"": 0}",,,,,
23,IBGP_MISSING_PAIRS_65000,L3,ibgp_missing_pairs,set_str,AS 65000의 iBGP Full-Mesh에서 누락된 장비쌍 목록을 알려주세요. [답변 형식: JSON array],"[""p7<->p8"", ""p7<->pe1"", ""p7<->pe2"", ""p7<->pe3"", ""p7<->pe4"", ""p8<->pe1"", ""p8<->pe2"", ""p8<->pe3"", ""p8<->pe4"", ""pe1<->pe4"", ""pe2<->pe3""]",,,,,
24,IBGP_MISSING_PAIRS_65001,L3,ibgp_missing_pairs,set_str,AS 65001의 iBGP Full-Mesh에서 누락된 장비쌍 목록을 알려주세요. [답변 형식: JSON array],[],,,,,
25,IBGP_MISSING_PAIRS_COUNT_65000,L3,ibgp_missing_pairs_count,number,AS 65000의 iBGP Full-Mesh에서 누락된 링크는 총 몇 개입니까? [답변 형식: integer],11,,,,,
26,IBGP_MISSING_PAIRS_COUNT_65001,L3,ibgp_missing_pairs_count,number,AS 65001의 iBGP Full-Mesh에서 누락된 링크는 총 몇 개입니까? [답변 형식: integer],0,,,,,
27,IBGP_UNDER_PEERED_COUNT_65000,L3,ibgp_under_peered_count,number,AS 65000에서 iBGP 피어 수가 부족한 장비는 총 몇 대입니까? [답변 형식: integer],6,,,,,
28,IBGP_UNDER_PEERED_COUNT_65001,L3,ibgp_under_peered_count,number,AS 65001에서 iBGP 피어 수가 부족한 장비는 총 몇 대입니까? [답변 형식: integer],0,,,,,
29,IBGP_UNDER_PEERED_DEVICES_65000,L3,ibgp_under_peered_devices,set_str,AS 65000에서 iBGP 피어 수가 부족한 장비 목록을 알려주세요. [답변 형식: JSON array],"[""p7"", ""p8"", ""pe1"", ""pe2"", ""pe3"", ""pe4""]",,,,,
30,IBGP_UNDER_PEERED_DEVICES_65001,L3,ibgp_under_peered_devices,set_str,AS 65001에서 iBGP 피어 수가 부족한 장비 목록을 알려주세요. [답변 형식: JSON array],[],,,,,
31,L2VPN_MISMATCH_COUNT,L3,l2vpn_mismatch_count,number,PW-ID 불일치 또는 단방향 L2VPN 회선은 총 몇 개입니까? [답변 형식: integer],0,,,,,
32,L2VPN_PWID_MISMATCH_PAIRS,L3,l2vpn_pwid_mismatch_pairs,set_str,PW-ID가 불일치하는 L2VPN 회선(장비쌍) 목록을 알려주세요. [답변 형식: JSON array],[],,,,,
33,L2VPN_UNIDIRECTIONAL_PAIRS,L3,l2vpn_unidirectional_pairs,set_str,단방향으로만 설정된 L2VPN 회선(장비쌍) 목록을 알려주세요. [답변 형식: JSON array],[],,,,,
34,L2VPN_UNIDIR_COUNT,L3,l2vpn_unidir_count,number,단방향으로만 설정된 L2VPN 회선은 총 몇 개입니까? [답변 형식: integer],0,,,,,
35,MAX_BGP_PEER_DEVICE,L3,max_bgp_peer_device,text,"BGP 피어가 가장 많은 장비와 그 개수를 알려주세요. [답변 형식: ""hostname: N""]","""asbr1: 4""",,,,,
36,MAX_INTERFACE_DEVICE,L3,max_interface_device,text,"인터페이스 수가 가장 많은 장비와 그 개수를 알려주세요. [답변 형식: ""hostname: N""]","""pe6: 8""",,,,,
37,MIN_INTERFACE_DEVICE,L3,min_interface_device,text,"인터페이스 수가 가장 적은 장비와 그 개수를 알려주세요. [답변 형식: ""hostname: N""]","""leaf1: 2""",,,,,
38,VRF_RT_LIST_PER_DEVICE_asbr2,L3,vrf_rt_list_per_device,set_str,asbr2 장비에 설정된 route-target(중복 제거) 전체 목록을 알려주세요. [답변 형식: JSON array],[],,,,,
39,VRF_RT_LIST_PER_DEVICE_pe5,L3,vrf_rt_list_per_device,set_str,pe5 장비에 설정된 route-target(중복 제거) 전체 목록을 알려주세요. [답변 형식: JSON array],"[""65001:400"", ""65001:500""]",,,,,
40,VRF_USAGE_STATISTICS,L3,vrf_usage_statistics,text,"VRF 사용중인 장비 중에서 각 장비별 VRF 사용 수를 알려주세요. [답변 형식: ""host1: N, host2: M""]","""asbr1: 0, asbr2: 0, leaf1: 0, leaf10: 0, leaf11: 0, leaf12: 0, leaf2: 0, leaf3: 0, leaf4: 0, leaf5: 0, leaf6: 0, leaf7: 0, leaf8: 0, leaf9: 0, p1: 0, p10: 0, p2: 0, p3: 0, p4: 0, p5: 0, p6: 0, p7: 0, p8: 0, p9: 0, pe1: 3, pe2: 3, pe3: 3, pe4: 3, pe5: 2, pe6: 2""",,,,,
41,VRF_WITHOUT_RT_COUNT,L3,vrf_without_rt_count,number,route-target이 없는 VRF(장비/VRF)는 총 몇 개입니까? [답변 형식: integer],0,,,,,
42,VRF_WITHOUT_RT_PAIRS,L3,vrf_without_rt_pairs,set_str,route-target이 없는 VRF(장비/VRF) 목록을 알려주세요. [답변 형식: JSON array],[],,,,,
