id,id_v2,category,level,question,answer_status,answer_type,answer,unknown_reason,evidence,pipeline_version,files
SYSTEM_VERSION_TEXT_leaf2,system_version_text:6e35c43dba,System_Inventory,L1,"For metric 'system_version_text', provide the result for host=leaf2. [Answer format: plain string]",OK,text,"""15.7""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf2""}}",91765b5,['leaf2.cfg']
SYSTEM_TIMEZONE_TEXT_leaf1,system_timezone_text:f3e677391b,System_Inventory,L1,"For metric 'system_timezone_text', provide the result for host=leaf1. [Answer format: plain string]",NOT_CONFIGURED,text,null,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_timezone_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf1""}}",91765b5,['leaf1.cfg']
SYSTEM_TIMEZONE_TEXT_pe2,system_timezone_text:3603999311,System_Inventory,L1,"For metric 'system_timezone_text', provide the result for host=pe2. [Answer format: plain string]",NOT_CONFIGURED,text,null,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_timezone_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe2""}}",91765b5,['pe2.cfg']
SYSTEM_TIMEZONE_TEXT_leaf4,system_timezone_text:45a2dbebe1,System_Inventory,L1,"For metric 'system_timezone_text', provide the result for host=leaf4. [Answer format: plain string]",NOT_CONFIGURED,text,null,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_timezone_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf4""}}",91765b5,['leaf4.cfg']
SYSTEM_TIMEZONE_TEXT_leaf2,system_timezone_text:6e35c43dba,System_Inventory,L1,"For metric 'system_timezone_text', provide the result for host=leaf2. [Answer format: plain string]",NOT_CONFIGURED,text,null,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_timezone_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf2""}}",91765b5,['leaf2.cfg']
SYSTEM_TIMEZONE_TEXT_leaf3,system_timezone_text:6a7c231d8b,System_Inventory,L1,"For metric 'system_timezone_text', provide the result for host=leaf3. [Answer format: plain string]",NOT_CONFIGURED,text,null,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_timezone_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf3""}}",91765b5,['leaf3.cfg']
SYSTEM_TIMEZONE_TEXT_p2,system_timezone_text:f84ad4329a,System_Inventory,L1,"For metric 'system_timezone_text', provide the result for host=p2. [Answer format: plain string]",NOT_CONFIGURED,text,null,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_timezone_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p2""}}",91765b5,['p2.cfg']
SYSTEM_TIMEZONE_TEXT_p1,system_timezone_text:980d4425bd,System_Inventory,L1,"For metric 'system_timezone_text', provide the result for host=p1. [Answer format: plain string]",NOT_CONFIGURED,text,null,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_timezone_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p1""}}",91765b5,['p1.cfg']
SYSTEM_TIMEZONE_TEXT_p4,system_timezone_text:8eb660897d,System_Inventory,L1,"For metric 'system_timezone_text', provide the result for host=p4. [Answer format: plain string]",NOT_CONFIGURED,text,null,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_timezone_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p4""}}",91765b5,['p4.cfg']
SYSTEM_TIMEZONE_TEXT_pe1,system_timezone_text:4f36bb8808,System_Inventory,L1,"For metric 'system_timezone_text', provide the result for host=pe1. [Answer format: plain string]",NOT_CONFIGURED,text,null,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_timezone_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe1""}}",91765b5,['pe1.cfg']
SYSTEM_TIMEZONE_TEXT_p3,system_timezone_text:40d255b5d8,System_Inventory,L1,"For metric 'system_timezone_text', provide the result for host=p3. [Answer format: plain string]",NOT_CONFIGURED,text,null,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_timezone_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p3""}}",91765b5,['p3.cfg']
SYSTEM_USER_LIST_leaf3,system_user_list:6a7c231d8b,System_Inventory,L1,"For metric 'system_user_list', provide the result for host=leaf3. [Answer format: JSON array]",OK,set,"[""admin""]",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_user_list"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf3""}}",91765b5,['leaf3.cfg']
SYSTEM_USER_LIST_p2,system_user_list:f84ad4329a,System_Inventory,L1,"For metric 'system_user_list', provide the result for host=p2. [Answer format: JSON array]",OK,set,"[""admin""]",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_user_list"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p2""}}",91765b5,['p2.cfg']
SYSTEM_USER_LIST_p3,system_user_list:40d255b5d8,System_Inventory,L1,"For metric 'system_user_list', provide the result for host=p3. [Answer format: JSON array]",OK,set,"[""admin""]",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_user_list"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p3""}}",91765b5,['p3.cfg']
SYSTEM_USER_LIST_leaf2,system_user_list:6e35c43dba,System_Inventory,L1,"For metric 'system_user_list', provide the result for host=leaf2. [Answer format: JSON array]",OK,set,"[""admin""]",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_user_list"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf2""}}",91765b5,['leaf2.cfg']
SYSTEM_USER_LIST_p4,system_user_list:8eb660897d,System_Inventory,L1,"For metric 'system_user_list', provide the result for host=p4. [Answer format: JSON array]",OK,set,"[""admin""]",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_user_list"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p4""}}",91765b5,['p4.cfg']
SYSTEM_USER_LIST_leaf4,system_user_list:45a2dbebe1,System_Inventory,L1,"For metric 'system_user_list', provide the result for host=leaf4. [Answer format: JSON array]",OK,set,"[""admin""]",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_user_list"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf4""}}",91765b5,['leaf4.cfg']
SYSTEM_USER_LIST_pe1,system_user_list:4f36bb8808,System_Inventory,L1,"For metric 'system_user_list', provide the result for host=pe1. [Answer format: JSON array]",OK,set,"[""admin""]",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_user_list"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe1""}}",91765b5,['pe1.cfg']
SYSTEM_USER_LIST_p1,system_user_list:980d4425bd,System_Inventory,L1,"For metric 'system_user_list', provide the result for host=p1. [Answer format: JSON array]",OK,set,"[""admin""]",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_user_list"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p1""}}",91765b5,['p1.cfg']
SYSTEM_USER_LIST_leaf1,system_user_list:f3e677391b,System_Inventory,L1,"For metric 'system_user_list', provide the result for host=leaf1. [Answer format: JSON array]",OK,set,"[""admin""]",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_user_list"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf1""}}",91765b5,['leaf1.cfg']
SYSTEM_USER_LIST_pe2,system_user_list:3603999311,System_Inventory,L1,"For metric 'system_user_list', provide the result for host=pe2. [Answer format: JSON array]",OK,set,"[""admin""]",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_user_list"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe2""}}",91765b5,['pe2.cfg']
SYSTEM_USER_COUNT_pe1,system_user_count:4f36bb8808,System_Inventory,L1,"For metric 'system_user_count', provide the result for host=pe1. [Answer format: integer number]",OK,number,1,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_user_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe1""}}",91765b5,['pe1.cfg']
SYSTEM_USER_COUNT_p3,system_user_count:40d255b5d8,System_Inventory,L1,"For metric 'system_user_count', provide the result for host=p3. [Answer format: integer number]",OK,number,1,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_user_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p3""}}",91765b5,['p3.cfg']
SYSTEM_USER_COUNT_leaf3,system_user_count:6a7c231d8b,System_Inventory,L1,"For metric 'system_user_count', provide the result for host=leaf3. [Answer format: integer number]",OK,number,1,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_user_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf3""}}",91765b5,['leaf3.cfg']
SYSTEM_USER_COUNT_p4,system_user_count:8eb660897d,System_Inventory,L1,"For metric 'system_user_count', provide the result for host=p4. [Answer format: integer number]",OK,number,1,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_user_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p4""}}",91765b5,['p4.cfg']
SYSTEM_USER_COUNT_leaf1,system_user_count:f3e677391b,System_Inventory,L1,"For metric 'system_user_count', provide the result for host=leaf1. [Answer format: integer number]",OK,number,1,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_user_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf1""}}",91765b5,['leaf1.cfg']
SYSTEM_USER_COUNT_leaf4,system_user_count:45a2dbebe1,System_Inventory,L1,"For metric 'system_user_count', provide the result for host=leaf4. [Answer format: integer number]",OK,number,1,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_user_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf4""}}",91765b5,['leaf4.cfg']
SYSTEM_USER_COUNT_leaf2,system_user_count:6e35c43dba,System_Inventory,L1,"For metric 'system_user_count', provide the result for host=leaf2. [Answer format: integer number]",OK,number,1,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_user_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf2""}}",91765b5,['leaf2.cfg']
SYSTEM_USER_COUNT_pe2,system_user_count:3603999311,System_Inventory,L1,"For metric 'system_user_count', provide the result for host=pe2. [Answer format: integer number]",OK,number,1,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_user_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe2""}}",91765b5,['pe2.cfg']
SYSTEM_USER_COUNT_p2,system_user_count:f84ad4329a,System_Inventory,L1,"For metric 'system_user_count', provide the result for host=p2. [Answer format: integer number]",OK,number,1,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_user_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p2""}}",91765b5,['p2.cfg']
SYSTEM_USER_COUNT_p1,system_user_count:980d4425bd,System_Inventory,L1,"For metric 'system_user_count', provide the result for host=p1. [Answer format: integer number]",OK,number,1,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""system_user_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p1""}}",91765b5,['p1.cfg']
LOGGING_BUFFERED_SEVERITY_TEXT_leaf4,logging_buffered_severity_text:45a2dbebe1,System_Inventory,L1,"For metric 'logging_buffered_severity_text', provide the result for host=leaf4. [Answer format: plain string]",NOT_CONFIGURED,text,null,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""logging_buffered_severity_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf4""}}",91765b5,['leaf4.cfg']
LOGGING_BUFFERED_SEVERITY_TEXT_p3,logging_buffered_severity_text:40d255b5d8,System_Inventory,L1,"For metric 'logging_buffered_severity_text', provide the result for host=p3. [Answer format: plain string]",NOT_CONFIGURED,text,null,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""logging_buffered_severity_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p3""}}",91765b5,['p3.cfg']
LOGGING_BUFFERED_SEVERITY_TEXT_leaf1,logging_buffered_severity_text:f3e677391b,System_Inventory,L1,"For metric 'logging_buffered_severity_text', provide the result for host=leaf1. [Answer format: plain string]",NOT_CONFIGURED,text,null,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""logging_buffered_severity_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf1""}}",91765b5,['leaf1.cfg']
LOGGING_BUFFERED_SEVERITY_TEXT_pe2,logging_buffered_severity_text:3603999311,System_Inventory,L1,"For metric 'logging_buffered_severity_text', provide the result for host=pe2. [Answer format: plain string]",NOT_CONFIGURED,text,null,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""logging_buffered_severity_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe2""}}",91765b5,['pe2.cfg']
LOGGING_BUFFERED_SEVERITY_TEXT_p1,logging_buffered_severity_text:980d4425bd,System_Inventory,L1,"For metric 'logging_buffered_severity_text', provide the result for host=p1. [Answer format: plain string]",NOT_CONFIGURED,text,null,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""logging_buffered_severity_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p1""}}",91765b5,['p1.cfg']
LOGGING_BUFFERED_SEVERITY_TEXT_p4,logging_buffered_severity_text:8eb660897d,System_Inventory,L1,"For metric 'logging_buffered_severity_text', provide the result for host=p4. [Answer format: plain string]",NOT_CONFIGURED,text,null,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""logging_buffered_severity_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p4""}}",91765b5,['p4.cfg']
LOGGING_BUFFERED_SEVERITY_TEXT_pe1,logging_buffered_severity_text:4f36bb8808,System_Inventory,L1,"For metric 'logging_buffered_severity_text', provide the result for host=pe1. [Answer format: plain string]",NOT_CONFIGURED,text,null,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""logging_buffered_severity_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe1""}}",91765b5,['pe1.cfg']
LOGGING_BUFFERED_SEVERITY_TEXT_p2,logging_buffered_severity_text:f84ad4329a,System_Inventory,L1,"For metric 'logging_buffered_severity_text', provide the result for host=p2. [Answer format: plain string]",NOT_CONFIGURED,text,null,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""logging_buffered_severity_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p2""}}",91765b5,['p2.cfg']
LOGGING_BUFFERED_SEVERITY_TEXT_leaf3,logging_buffered_severity_text:6a7c231d8b,System_Inventory,L1,"For metric 'logging_buffered_severity_text', provide the result for host=leaf3. [Answer format: plain string]",NOT_CONFIGURED,text,null,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""logging_buffered_severity_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf3""}}",91765b5,['leaf3.cfg']
LOGGING_BUFFERED_SEVERITY_TEXT_leaf2,logging_buffered_severity_text:6e35c43dba,System_Inventory,L1,"For metric 'logging_buffered_severity_text', provide the result for host=leaf2. [Answer format: plain string]",NOT_CONFIGURED,text,null,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""logging_buffered_severity_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf2""}}",91765b5,['leaf2.cfg']
NTP_SERVER_LIST_pe2,ntp_server_list:3603999311,System_Inventory,L1,"For metric 'ntp_server_list', provide the result for host=pe2. [Answer format: JSON array]",NOT_CONFIGURED,set,[],,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""ntp_server_list"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe2""}}",91765b5,['pe2.cfg']
NTP_SERVER_LIST_leaf2,ntp_server_list:6e35c43dba,System_Inventory,L1,"For metric 'ntp_server_list', provide the result for host=leaf2. [Answer format: JSON array]",NOT_CONFIGURED,set,[],,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""ntp_server_list"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf2""}}",91765b5,['leaf2.cfg']
NTP_SERVER_LIST_pe1,ntp_server_list:4f36bb8808,System_Inventory,L1,"For metric 'ntp_server_list', provide the result for host=pe1. [Answer format: JSON array]",NOT_CONFIGURED,set,[],,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""ntp_server_list"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe1""}}",91765b5,['pe1.cfg']
NTP_SERVER_LIST_p3,ntp_server_list:40d255b5d8,System_Inventory,L1,"For metric 'ntp_server_list', provide the result for host=p3. [Answer format: JSON array]",NOT_CONFIGURED,set,[],,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""ntp_server_list"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p3""}}",91765b5,['p3.cfg']
NTP_SERVER_LIST_p1,ntp_server_list:980d4425bd,System_Inventory,L1,"For metric 'ntp_server_list', provide the result for host=p1. [Answer format: JSON array]",NOT_CONFIGURED,set,[],,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""ntp_server_list"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p1""}}",91765b5,['p1.cfg']
NTP_SERVER_LIST_p4,ntp_server_list:8eb660897d,System_Inventory,L1,"For metric 'ntp_server_list', provide the result for host=p4. [Answer format: JSON array]",NOT_CONFIGURED,set,[],,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""ntp_server_list"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p4""}}",91765b5,['p4.cfg']
NTP_SERVER_LIST_leaf4,ntp_server_list:45a2dbebe1,System_Inventory,L1,"For metric 'ntp_server_list', provide the result for host=leaf4. [Answer format: JSON array]",NOT_CONFIGURED,set,[],,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""ntp_server_list"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf4""}}",91765b5,['leaf4.cfg']
NTP_SERVER_LIST_p2,ntp_server_list:f84ad4329a,System_Inventory,L1,"For metric 'ntp_server_list', provide the result for host=p2. [Answer format: JSON array]",NOT_CONFIGURED,set,[],,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""ntp_server_list"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p2""}}",91765b5,['p2.cfg']
NTP_SERVER_LIST_leaf1,ntp_server_list:f3e677391b,System_Inventory,L1,"For metric 'ntp_server_list', provide the result for host=leaf1. [Answer format: JSON array]",NOT_CONFIGURED,set,[],,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""ntp_server_list"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf1""}}",91765b5,['leaf1.cfg']
NTP_SERVER_LIST_leaf3,ntp_server_list:6a7c231d8b,System_Inventory,L1,"For metric 'ntp_server_list', provide the result for host=leaf3. [Answer format: JSON array]",NOT_CONFIGURED,set,[],,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""ntp_server_list"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf3""}}",91765b5,['leaf3.cfg']
SNMP_COMMUNITY_LIST_pe1,snmp_community_list:4f36bb8808,System_Inventory,L1,"For metric 'snmp_community_list', provide the result for host=pe1. [Answer format: JSON array]",NOT_CONFIGURED,set,[],,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""snmp_community_list"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe1""}}",91765b5,['pe1.cfg']
SNMP_COMMUNITY_LIST_pe2,snmp_community_list:3603999311,System_Inventory,L1,"For metric 'snmp_community_list', provide the result for host=pe2. [Answer format: JSON array]",NOT_CONFIGURED,set,[],,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""snmp_community_list"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe2""}}",91765b5,['pe2.cfg']
SNMP_COMMUNITY_LIST_leaf1,snmp_community_list:f3e677391b,System_Inventory,L1,"For metric 'snmp_community_list', provide the result for host=leaf1. [Answer format: JSON array]",NOT_CONFIGURED,set,[],,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""snmp_community_list"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf1""}}",91765b5,['leaf1.cfg']
