id,id_v2,metric,scope,category,level,question_type,question,answer_status,answer_type,answer,eval_answer,unknown_reason,evidence,scenario,query_contract,verification_contract,oracle_source,verification_status,quarantine_reason,pipeline_version,files
SYSTEM_HOSTNAME_TEXT_p11,system_hostname_text:7dd092c30f,system_hostname_text,"{""type"": ""DEVICE"", ""host"": ""p11""}",System_Inventory,L1,unknown,p11 장비의 호스트네임은 무엇입니까? [답변 형식: exact value],OK,text,"""p11""",p11,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_hostname_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p11""}}",,,,parser,pending,,e96a0b16,['p11.cfg']
SYSTEM_VERSION_TEXT_leaf4,system_version_text:45a2dbebe1,system_version_text,"{""type"": ""DEVICE"", ""host"": ""leaf4""}",System_Inventory,L1,unknown,leaf4 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf4""}}",,,,parser,pending,,e96a0b16,['leaf4.cfg']
SYSTEM_VERSION_TEXT_leaf5,system_version_text:c889ccb7cb,system_version_text,"{""type"": ""DEVICE"", ""host"": ""leaf5""}",System_Inventory,L1,unknown,leaf5 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf5""}}",,,,parser,pending,,e96a0b16,['leaf5.cfg']
SYSTEM_VERSION_TEXT_leaf3,system_version_text:6a7c231d8b,system_version_text,"{""type"": ""DEVICE"", ""host"": ""leaf3""}",System_Inventory,L1,unknown,leaf3 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf3""}}",,,,parser,pending,,e96a0b16,['leaf3.cfg']
SYSTEM_VERSION_TEXT_asbr1,system_version_text:1e9e9c7f7a,system_version_text,"{""type"": ""DEVICE"", ""host"": ""asbr1""}",System_Inventory,L1,unknown,asbr1 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""asbr1""}}",,,,parser,pending,,e96a0b16,['asbr1.cfg']
SYSTEM_VERSION_TEXT_pe1,system_version_text:4f36bb8808,system_version_text,"{""type"": ""DEVICE"", ""host"": ""pe1""}",System_Inventory,L1,unknown,pe1 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe1""}}",,,,parser,pending,,e96a0b16,['pe1.cfg']
SYSTEM_VERSION_TEXT_leaf2,system_version_text:6e35c43dba,system_version_text,"{""type"": ""DEVICE"", ""host"": ""leaf2""}",System_Inventory,L1,unknown,leaf2 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf2""}}",,,,parser,pending,,e96a0b16,['leaf2.cfg']
SYSTEM_VERSION_TEXT_p5,system_version_text:5991ac5b4f,system_version_text,"{""type"": ""DEVICE"", ""host"": ""p5""}",System_Inventory,L1,unknown,p5 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p5""}}",,,,parser,pending,,e96a0b16,['p5.cfg']
SYSTEM_VERSION_TEXT_leaf13,system_version_text:f2f15f10e2,system_version_text,"{""type"": ""DEVICE"", ""host"": ""leaf13""}",System_Inventory,L1,unknown,leaf13 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf13""}}",,,,parser,pending,,e96a0b16,['leaf13.cfg']
SYSTEM_VERSION_TEXT_p3,system_version_text:40d255b5d8,system_version_text,"{""type"": ""DEVICE"", ""host"": ""p3""}",System_Inventory,L1,unknown,p3 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p3""}}",,,,parser,pending,,e96a0b16,['p3.cfg']
SYSTEM_VERSION_TEXT_p8,system_version_text:d61ee73c24,system_version_text,"{""type"": ""DEVICE"", ""host"": ""p8""}",System_Inventory,L1,unknown,p8 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p8""}}",,,,parser,pending,,e96a0b16,['p8.cfg']
SYSTEM_VERSION_TEXT_p9,system_version_text:4636d19a52,system_version_text,"{""type"": ""DEVICE"", ""host"": ""p9""}",System_Inventory,L1,unknown,p9 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p9""}}",,,,parser,pending,,e96a0b16,['p9.cfg']
SYSTEM_VERSION_TEXT_leaf15,system_version_text:f52655ad5e,system_version_text,"{""type"": ""DEVICE"", ""host"": ""leaf15""}",System_Inventory,L1,unknown,leaf15 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf15""}}",,,,parser,pending,,e96a0b16,['leaf15.cfg']
SYSTEM_VERSION_TEXT_pe6,system_version_text:7041bfb7a3,system_version_text,"{""type"": ""DEVICE"", ""host"": ""pe6""}",System_Inventory,L1,unknown,pe6 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe6""}}",,,,parser,pending,,e96a0b16,['pe6.cfg']
SYSTEM_VERSION_TEXT_leaf1,system_version_text:f3e677391b,system_version_text,"{""type"": ""DEVICE"", ""host"": ""leaf1""}",System_Inventory,L1,unknown,leaf1 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf1""}}",,,,parser,pending,,e96a0b16,['leaf1.cfg']
SYSTEM_VERSION_TEXT_p12,system_version_text:44a0a3a308,system_version_text,"{""type"": ""DEVICE"", ""host"": ""p12""}",System_Inventory,L1,unknown,p12 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p12""}}",,,,parser,pending,,e96a0b16,['p12.cfg']
SYSTEM_VERSION_TEXT_fw2,system_version_text:f8aaadadd9,system_version_text,"{""type"": ""DEVICE"", ""host"": ""fw2""}",System_Inventory,L1,unknown,fw2 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""fw2""}}",,,,parser,pending,,e96a0b16,['fw2.cfg']
SYSTEM_VERSION_TEXT_p6,system_version_text:e05ff65dc3,system_version_text,"{""type"": ""DEVICE"", ""host"": ""p6""}",System_Inventory,L1,unknown,p6 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p6""}}",,,,parser,pending,,e96a0b16,['p6.cfg']
SYSTEM_VERSION_TEXT_p10,system_version_text:34f07ac92d,system_version_text,"{""type"": ""DEVICE"", ""host"": ""p10""}",System_Inventory,L1,unknown,p10 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p10""}}",,,,parser,pending,,e96a0b16,['p10.cfg']
SYSTEM_VERSION_TEXT_pe4,system_version_text:a2fc790735,system_version_text,"{""type"": ""DEVICE"", ""host"": ""pe4""}",System_Inventory,L1,unknown,pe4 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe4""}}",,,,parser,pending,,e96a0b16,['pe4.cfg']
SYSTEM_VERSION_TEXT_pe2,system_version_text:3603999311,system_version_text,"{""type"": ""DEVICE"", ""host"": ""pe2""}",System_Inventory,L1,unknown,pe2 장비의 운영체제(OS) 버전은 무엇입니까? [답변 형식: exact value],OK,text,"""15.7""",15.7,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_version_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe2""}}",,,,parser,pending,,e96a0b16,['pe2.cfg']
SYSTEM_TIMEZONE_TEXT_p8,system_timezone_text:d61ee73c24,system_timezone_text,"{""type"": ""DEVICE"", ""host"": ""p8""}",System_Inventory,L1,unknown,p8 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],OK,text,"""KST 9""",KST 9,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_timezone_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p8""}}",,,,parser,pending,,e96a0b16,['p8.cfg']
SYSTEM_TIMEZONE_TEXT_leaf10,system_timezone_text:6c269c1b4e,system_timezone_text,"{""type"": ""DEVICE"", ""host"": ""leaf10""}",System_Inventory,L1,unknown,leaf10 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],OK,text,"""KST 9""",KST 9,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_timezone_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf10""}}",,,,parser,pending,,e96a0b16,['leaf10.cfg']
SYSTEM_TIMEZONE_TEXT_asbr1,system_timezone_text:1e9e9c7f7a,system_timezone_text,"{""type"": ""DEVICE"", ""host"": ""asbr1""}",System_Inventory,L1,unknown,asbr1 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],OK,text,"""KST 9""",KST 9,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_timezone_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""asbr1""}}",,,,parser,pending,,e96a0b16,['asbr1.cfg']
SYSTEM_TIMEZONE_TEXT_p6,system_timezone_text:e05ff65dc3,system_timezone_text,"{""type"": ""DEVICE"", ""host"": ""p6""}",System_Inventory,L1,unknown,p6 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],OK,text,"""KST 9""",KST 9,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_timezone_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p6""}}",,,,parser,pending,,e96a0b16,['p6.cfg']
SYSTEM_TIMEZONE_TEXT_leaf3,system_timezone_text:6a7c231d8b,system_timezone_text,"{""type"": ""DEVICE"", ""host"": ""leaf3""}",System_Inventory,L1,unknown,leaf3 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],OK,text,"""KST 9""",KST 9,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_timezone_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf3""}}",,,,parser,pending,,e96a0b16,['leaf3.cfg']
SYSTEM_TIMEZONE_TEXT_pe8,system_timezone_text:aa85c6d59c,system_timezone_text,"{""type"": ""DEVICE"", ""host"": ""pe8""}",System_Inventory,L1,unknown,pe8 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],OK,text,"""KST 9""",KST 9,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_timezone_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe8""}}",,,,parser,pending,,e96a0b16,['pe8.cfg']
SYSTEM_TIMEZONE_TEXT_leaf14,system_timezone_text:1b105199e1,system_timezone_text,"{""type"": ""DEVICE"", ""host"": ""leaf14""}",System_Inventory,L1,unknown,leaf14 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],OK,text,"""KST 9""",KST 9,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_timezone_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf14""}}",,,,parser,pending,,e96a0b16,['leaf14.cfg']
SYSTEM_TIMEZONE_TEXT_leaf9,system_timezone_text:a49fad1930,system_timezone_text,"{""type"": ""DEVICE"", ""host"": ""leaf9""}",System_Inventory,L1,unknown,leaf9 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],OK,text,"""KST 9""",KST 9,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_timezone_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf9""}}",,,,parser,pending,,e96a0b16,['leaf9.cfg']
SYSTEM_TIMEZONE_TEXT_leaf6,system_timezone_text:0f4017add8,system_timezone_text,"{""type"": ""DEVICE"", ""host"": ""leaf6""}",System_Inventory,L1,unknown,leaf6 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],OK,text,"""KST 9""",KST 9,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_timezone_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf6""}}",,,,parser,pending,,e96a0b16,['leaf6.cfg']
SYSTEM_TIMEZONE_TEXT_pe1,system_timezone_text:4f36bb8808,system_timezone_text,"{""type"": ""DEVICE"", ""host"": ""pe1""}",System_Inventory,L1,unknown,pe1 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],OK,text,"""KST 9""",KST 9,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_timezone_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe1""}}",,,,parser,pending,,e96a0b16,['pe1.cfg']
SYSTEM_TIMEZONE_TEXT_pe4,system_timezone_text:a2fc790735,system_timezone_text,"{""type"": ""DEVICE"", ""host"": ""pe4""}",System_Inventory,L1,unknown,pe4 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],OK,text,"""KST 9""",KST 9,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_timezone_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe4""}}",,,,parser,pending,,e96a0b16,['pe4.cfg']
SYSTEM_TIMEZONE_TEXT_leaf16,system_timezone_text:306bca46fe,system_timezone_text,"{""type"": ""DEVICE"", ""host"": ""leaf16""}",System_Inventory,L1,unknown,leaf16 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],OK,text,"""KST 9""",KST 9,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_timezone_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf16""}}",,,,parser,pending,,e96a0b16,['leaf16.cfg']
SYSTEM_TIMEZONE_TEXT_p9,system_timezone_text:4636d19a52,system_timezone_text,"{""type"": ""DEVICE"", ""host"": ""p9""}",System_Inventory,L1,unknown,p9 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],OK,text,"""KST 9""",KST 9,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_timezone_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p9""}}",,,,parser,pending,,e96a0b16,['p9.cfg']
SYSTEM_TIMEZONE_TEXT_p12,system_timezone_text:44a0a3a308,system_timezone_text,"{""type"": ""DEVICE"", ""host"": ""p12""}",System_Inventory,L1,unknown,p12 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: plain string or null],OK,text,"""KST 9""",KST 9,,"{""snapshot"": ""LabD_NCN_MultiAS_Complex_40nodes"", ""metric"": ""system_timezone_text"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p12""}}",,,,parser,pending,,e96a0b16,['p12.cfg']
