id,origin,level,task_category,answer_type,complexity,persona,question,ground_truth,explanation,context,source_files
BASIC_DSL-VRF_WITHOUT_RT_COUNT-64521,rule_based,2,단순 조회 업무,short,basic,,route-target이 없는 VRF (장비/VRF) 개수는?,0,The value for vrf_without_rt_count is 0.,"장비: CE1 | OS: ios-xr | BGP AS: 65001 | BGP 피어 수: 1
장비: CE2 | OS: ios-xr | BGP AS: 65003 | BGP 피어 수: 1
장비: sample10 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1
장비: sample7 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1
장비: sample8 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1
장비: sample9 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1","ce1.xml, ce2.xml, sample10.xml, sample7.xml, sample8.xml, sample9.xml"
BASIC_DSL-VRF_RD_MAP-28540,rule_based,2,단순 조회 업무,short,basic,,VRF exam-l3vpn 의 장비별 RD 매핑은?,"{""exam-l3vpn"": ""65000:1000""}",The value for vrf_rd_map is {'exam-l3vpn': '65000:1000'}.,장비: sample10 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample10.xml
BASIC_DSL-VRF_RD_MAP-13206,rule_based,2,단순 조회 업무,short,basic,,VRF exam-l3vpn 의 장비별 RD 매핑은?,"{""exam-l3vpn"": ""65000:1000""}",The value for vrf_rd_map is {'exam-l3vpn': '65000:1000'}.,장비: sample7 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample7.xml
BASIC_DSL-VRF_RD_MAP-4978,rule_based,2,단순 조회 업무,short,basic,,VRF exam-l3vpn 의 장비별 RD 매핑은?,"{""exam-l3vpn"": ""65000:1000""}",The value for vrf_rd_map is {'exam-l3vpn': '65000:1000'}.,장비: sample8 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample8.xml
BASIC_DSL-VRF_RD_MAP-38269,rule_based,2,단순 조회 업무,short,basic,,VRF exam-l3vpn 의 장비별 RD 매핑은?,"{""exam-l3vpn"": ""65000:1000""}",The value for vrf_rd_map is {'exam-l3vpn': '65000:1000'}.,장비: sample9 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample9.xml
BASIC_DSL-VRF_RT_LIST_PER_DEVICE-28540,rule_based,1,단순 조회 업무,short,basic,,sample10 의 VRF exam-l3vpn route-target 목록은?,"[""65000:1000""]",The list of devices for vrf_rt_list_per_device is ['65000:1000'].,장비: sample10 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample10.xml
BASIC_DSL-VRF_RT_LIST_PER_DEVICE-13206,rule_based,1,단순 조회 업무,short,basic,,sample7 의 VRF exam-l3vpn route-target 목록은?,"[""65000:1000""]",The list of devices for vrf_rt_list_per_device is ['65000:1000'].,장비: sample7 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample7.xml
BASIC_DSL-VRF_RT_LIST_PER_DEVICE-4978,rule_based,1,단순 조회 업무,short,basic,,sample8 의 VRF exam-l3vpn route-target 목록은?,"[""65000:1000""]",The list of devices for vrf_rt_list_per_device is ['65000:1000'].,장비: sample8 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample8.xml
BASIC_DSL-VRF_RT_LIST_PER_DEVICE-38269,rule_based,1,단순 조회 업무,short,basic,,sample9 의 VRF exam-l3vpn route-target 목록은?,"[""65000:1000""]",The list of devices for vrf_rt_list_per_device is ['65000:1000'].,장비: sample9 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample9.xml
BASIC_DSL-VRF_INTERFACE_BIND_COUNT-57884,rule_based,2,단순 조회 업무,short,basic,,CE1의 VRF exam-l3vpn에 바인딩된 인터페이스 수는?,0,The value for vrf_interface_bind_count is 0.,장비: CE1 | OS: ios-xr | BGP AS: 65001 | BGP 피어 수: 1,ce1.xml
BASIC_DSL-VRF_INTERFACE_BIND_COUNT-30402,rule_based,2,단순 조회 업무,short,basic,,CE2의 VRF exam-l3vpn에 바인딩된 인터페이스 수는?,0,The value for vrf_interface_bind_count is 0.,장비: CE2 | OS: ios-xr | BGP AS: 65003 | BGP 피어 수: 1,ce2.xml
BASIC_DSL-VRF_INTERFACE_BIND_COUNT-28540,rule_based,2,단순 조회 업무,short,basic,,sample10의 VRF exam-l3vpn에 바인딩된 인터페이스 수는?,0,The value for vrf_interface_bind_count is 0.,장비: sample10 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample10.xml
BASIC_DSL-VRF_INTERFACE_BIND_COUNT-13206,rule_based,2,단순 조회 업무,short,basic,,sample7의 VRF exam-l3vpn에 바인딩된 인터페이스 수는?,0,The value for vrf_interface_bind_count is 0.,장비: sample7 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample7.xml
BASIC_DSL-VRF_INTERFACE_BIND_COUNT-4978,rule_based,2,단순 조회 업무,short,basic,,sample8의 VRF exam-l3vpn에 바인딩된 인터페이스 수는?,0,The value for vrf_interface_bind_count is 0.,장비: sample8 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample8.xml
BASIC_DSL-VRF_INTERFACE_BIND_COUNT-38269,rule_based,2,단순 조회 업무,short,basic,,sample9의 VRF exam-l3vpn에 바인딩된 인터페이스 수는?,0,The value for vrf_interface_bind_count is 0.,장비: sample9 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample9.xml
BASIC_DSL-L2VPN_PAIRS-64521,rule_based,1,단순 조회 업무,short,basic,,구성된 L2VPN pseudowire 회선(장비쌍) 목록은?,"[""sample7<->sample9"", ""sample9<->sample7""]","The list of devices for l2vpn_pairs is ['sample7<->sample9', 'sample9<->sample7'].","장비: CE1 | OS: ios-xr | BGP AS: 65001 | BGP 피어 수: 1
장비: CE2 | OS: ios-xr | BGP AS: 65003 | BGP 피어 수: 1
장비: sample10 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1
장비: sample7 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1
장비: sample8 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1
장비: sample9 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1","ce1.xml, ce2.xml, sample10.xml, sample7.xml, sample8.xml, sample9.xml"
BASIC_DSL-L2VPN_PWID_MISMATCH_PAIRS-64521,rule_based,2,단순 조회 업무,short,basic,,PW-ID 불일치 L2VPN 회선(장비쌍) 목록은?,"[""sample7<->sample9"", ""sample9<->sample7""]","The list of devices for l2vpn_pwid_mismatch_pairs is ['sample7<->sample9', 'sample9<->sample7'].","장비: CE1 | OS: ios-xr | BGP AS: 65001 | BGP 피어 수: 1
장비: CE2 | OS: ios-xr | BGP AS: 65003 | BGP 피어 수: 1
장비: sample10 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1
장비: sample7 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1
장비: sample8 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1
장비: sample9 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1","ce1.xml, ce2.xml, sample10.xml, sample7.xml, sample8.xml, sample9.xml"
BASIC_DSL-L2VPN_MISMATCH_COUNT-64521,rule_based,2,단순 조회 업무,short,basic,,PW-ID 불일치(또는 역방향 미존재) 회선 수는?,2,The value for l2vpn_mismatch_count is 2.,"장비: CE1 | OS: ios-xr | BGP AS: 65001 | BGP 피어 수: 1
장비: CE2 | OS: ios-xr | BGP AS: 65003 | BGP 피어 수: 1
장비: sample10 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1
장비: sample7 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1
장비: sample8 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1
장비: sample9 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1","ce1.xml, ce2.xml, sample10.xml, sample7.xml, sample8.xml, sample9.xml"
BASIC_DSL-L2VPN_UNIDIR_COUNT-64521,rule_based,2,단순 조회 업무,short,basic,,역방향이 없는 L2VPN 회선(장비쌍) 개수는?,0,The value for l2vpn_unidir_count is 0.,"장비: CE1 | OS: ios-xr | BGP AS: 65001 | BGP 피어 수: 1
장비: CE2 | OS: ios-xr | BGP AS: 65003 | BGP 피어 수: 1
장비: sample10 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1
장비: sample7 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1
장비: sample8 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1
장비: sample9 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1","ce1.xml, ce2.xml, sample10.xml, sample7.xml, sample8.xml, sample9.xml"
BASIC_DSL-OSPF_AREA0_IF_LIST-1597,rule_based,1,단순 조회 업무,short,basic,,sample10 의 OSPF Area 0 인터페이스 목록은?,"[""GigabitEthernet0/0/0/0"", ""GigabitEthernet0/0/0/2"", ""Loopback0""]","The list of devices for ospf_area0_if_list is ['GigabitEthernet0/0/0/0', 'GigabitEthernet0/0/0/2', 'Loopback0'].",장비: sample10 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample10.xml
BASIC_DSL-OSPF_AREA0_IF_LIST-25299,rule_based,1,단순 조회 업무,short,basic,,sample7 의 OSPF Area 0 인터페이스 목록은?,"[""GigabitEthernet0/0/0/0"", ""GigabitEthernet0/0/0/2"", ""Loopback0""]","The list of devices for ospf_area0_if_list is ['GigabitEthernet0/0/0/0', 'GigabitEthernet0/0/0/2', 'Loopback0'].",장비: sample7 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample7.xml
BASIC_DSL-OSPF_AREA0_IF_LIST-36080,rule_based,1,단순 조회 업무,short,basic,,sample8 의 OSPF Area 0 인터페이스 목록은?,"[""GigabitEthernet0/0/0/0"", ""GigabitEthernet0/0/0/2"", ""Loopback0""]","The list of devices for ospf_area0_if_list is ['GigabitEthernet0/0/0/0', 'GigabitEthernet0/0/0/2', 'Loopback0'].",장비: sample8 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample8.xml
BASIC_DSL-OSPF_AREA0_IF_LIST-13781,rule_based,1,단순 조회 업무,short,basic,,sample9 의 OSPF Area 0 인터페이스 목록은?,"[""GigabitEthernet0/0/0/0"", ""GigabitEthernet0/0/0/2"", ""Loopback0""]","The list of devices for ospf_area0_if_list is ['GigabitEthernet0/0/0/0', 'GigabitEthernet0/0/0/2', 'Loopback0'].",장비: sample9 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample9.xml
BASIC_DSL-OSPF_PROC_IDS-1597,rule_based,1,단순 조회 업무,short,basic,,sample10 의 OSPF 프로세스 ID는?,1,The value for ospf_proc_ids is 1.,장비: sample10 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample10.xml
BASIC_DSL-OSPF_PROC_IDS-25299,rule_based,1,단순 조회 업무,short,basic,,sample7 의 OSPF 프로세스 ID는?,1,The value for ospf_proc_ids is 1.,장비: sample7 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample7.xml
BASIC_DSL-OSPF_PROC_IDS-36080,rule_based,1,단순 조회 업무,short,basic,,sample8 의 OSPF 프로세스 ID는?,1,The value for ospf_proc_ids is 1.,장비: sample8 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample8.xml
BASIC_DSL-OSPF_PROC_IDS-13781,rule_based,1,단순 조회 업무,short,basic,,sample9 의 OSPF 프로세스 ID는?,1,The value for ospf_proc_ids is 1.,장비: sample9 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample9.xml
BASIC_DSL-OSPF_AREA0_IF_COUNT-24609,rule_based,1,단순 조회 업무,short,basic,,CE1 의 OSPF Area 0 인터페이스 수는?,0,The value for ospf_area0_if_count is 0.,장비: CE1 | OS: ios-xr | BGP AS: 65001 | BGP 피어 수: 1,ce1.xml
BASIC_DSL-OSPF_AREA0_IF_COUNT-32362,rule_based,1,단순 조회 업무,short,basic,,CE2 의 OSPF Area 0 인터페이스 수는?,0,The value for ospf_area0_if_count is 0.,장비: CE2 | OS: ios-xr | BGP AS: 65003 | BGP 피어 수: 1,ce2.xml
BASIC_DSL-OSPF_AREA0_IF_COUNT-1597,rule_based,1,단순 조회 업무,short,basic,,sample10 의 OSPF Area 0 인터페이스 수는?,3,The value for ospf_area0_if_count is 3.,장비: sample10 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample10.xml
BASIC_DSL-OSPF_AREA0_IF_COUNT-25299,rule_based,1,단순 조회 업무,short,basic,,sample7 의 OSPF Area 0 인터페이스 수는?,3,The value for ospf_area0_if_count is 3.,장비: sample7 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample7.xml
BASIC_DSL-OSPF_AREA0_IF_COUNT-36080,rule_based,1,단순 조회 업무,short,basic,,sample8 의 OSPF Area 0 인터페이스 수는?,3,The value for ospf_area0_if_count is 3.,장비: sample8 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample8.xml
BASIC_DSL-OSPF_AREA0_IF_COUNT-13781,rule_based,1,단순 조회 업무,short,basic,,sample9 의 OSPF Area 0 인터페이스 수는?,3,The value for ospf_area0_if_count is 3.,장비: sample9 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample9.xml
BASIC_DSL-SYSTEM_HOSTNAME_TEXT-24609,rule_based,1,단순 조회 업무,short,basic,,CE1 장비의 호스트네임은?,CE1,The value for system_hostname_text is CE1.,장비: CE1 | OS: ios-xr | BGP AS: 65001 | BGP 피어 수: 1,ce1.xml
BASIC_DSL-SYSTEM_HOSTNAME_TEXT-32362,rule_based,1,단순 조회 업무,short,basic,,CE2 장비의 호스트네임은?,CE2,The value for system_hostname_text is CE2.,장비: CE2 | OS: ios-xr | BGP AS: 65003 | BGP 피어 수: 1,ce2.xml
BASIC_DSL-SYSTEM_HOSTNAME_TEXT-1597,rule_based,1,단순 조회 업무,short,basic,,sample10 장비의 호스트네임은?,sample10,The value for system_hostname_text is sample10.,장비: sample10 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample10.xml
BASIC_DSL-SYSTEM_HOSTNAME_TEXT-25299,rule_based,1,단순 조회 업무,short,basic,,sample7 장비의 호스트네임은?,sample7,The value for system_hostname_text is sample7.,장비: sample7 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample7.xml
BASIC_DSL-SYSTEM_HOSTNAME_TEXT-36080,rule_based,1,단순 조회 업무,short,basic,,sample8 장비의 호스트네임은?,sample8,The value for system_hostname_text is sample8.,장비: sample8 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample8.xml
BASIC_DSL-SYSTEM_HOSTNAME_TEXT-13781,rule_based,1,단순 조회 업무,short,basic,,sample9 장비의 호스트네임은?,sample9,The value for system_hostname_text is sample9.,장비: sample9 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample9.xml
BASIC_DSL-SYSTEM_VERSION_TEXT-24609,rule_based,1,단순 조회 업무,short,basic,,CE1 장비의 OS/이미지 버전은?,15.4,The value for system_version_text is 15.4.,장비: CE1 | OS: ios-xr | BGP AS: 65001 | BGP 피어 수: 1,ce1.xml
BASIC_DSL-SYSTEM_VERSION_TEXT-32362,rule_based,1,단순 조회 업무,short,basic,,CE2 장비의 OS/이미지 버전은?,15.4,The value for system_version_text is 15.4.,장비: CE2 | OS: ios-xr | BGP AS: 65003 | BGP 피어 수: 1,ce2.xml
BASIC_DSL-SYSTEM_USER_COUNT-24609,rule_based,1,단순 조회 업무,short,basic,,CE1 장비의 로컬 사용자 수는?,1,The value for system_user_count is 1.,장비: CE1 | OS: ios-xr | BGP AS: 65001 | BGP 피어 수: 1,ce1.xml
BASIC_DSL-SYSTEM_USER_COUNT-32362,rule_based,1,단순 조회 업무,short,basic,,CE2 장비의 로컬 사용자 수는?,1,The value for system_user_count is 1.,장비: CE2 | OS: ios-xr | BGP AS: 65003 | BGP 피어 수: 1,ce2.xml
BASIC_DSL-SYSTEM_USER_COUNT-1597,rule_based,1,단순 조회 업무,short,basic,,sample10 장비의 로컬 사용자 수는?,1,The value for system_user_count is 1.,장비: sample10 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample10.xml
BASIC_DSL-SYSTEM_USER_COUNT-25299,rule_based,1,단순 조회 업무,short,basic,,sample7 장비의 로컬 사용자 수는?,1,The value for system_user_count is 1.,장비: sample7 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample7.xml
BASIC_DSL-SYSTEM_USER_COUNT-36080,rule_based,1,단순 조회 업무,short,basic,,sample8 장비의 로컬 사용자 수는?,1,The value for system_user_count is 1.,장비: sample8 | OS: ios-xr | BGP AS: 65000 | BGP 피어 수: 3 | VRF 수: 1,sample8.xml
