#,qa_id,level,metric,answer_type,question,dataset_answer,my_result,verdict,memo
15,REACH_leaf10_leaf8_TCP,L4,reachability_status,text,"172.18.2.2에서 172.17.4.2(22/TCP)로의 트래픽 경로와 도달 여부를 알려주세요. [답변 형식: '경로: A → B → C, 도달: 가능' 또는 '경로: ..., 도달: 불가 (원인: NO_ROUTE, ACL_DENY, EXTERNAL 중 택1)']","""PATH: leaf10 -> pe5; REACHABLE: FALSE; REASON: NO_ROUTE""",,,
16,REACH_p10_pe2_ICMP,L4,reachability_status,text,"10.0.32.1에서 10.0.4.1(0/ICMP)로의 트래픽 경로와 도달 여부를 알려주세요. [답변 형식: '경로: A → B → C, 도달: 가능' 또는 '경로: ..., 도달: 불가 (원인: NO_ROUTE, ACL_DENY, EXTERNAL 중 택1)']","""PATH: p10 -> asbr2 -> p8 -> p7 -> p6 -> p5 -> p3 -> p1 -> p2 -> pe2; REACHABLE: TRUE""",,,
17,REACH_p10_pe4_TCP,L4,reachability_status,text,"10.0.32.1에서 10.0.14.1(22/TCP)로의 트래픽 경로와 도달 여부를 알려주세요. [답변 형식: '경로: A → B → C, 도달: 가능' 또는 '경로: ..., 도달: 불가 (원인: NO_ROUTE, ACL_DENY, EXTERNAL 중 택1)']","""PATH: p10 -> asbr2 -> p8 -> pe4; REACHABLE: TRUE""",,,
18,SEC_BYPASS_p7_p8_p10,L4,security_policy_bypass_check,text,보안 정책상 'p7'에서 'p8'로 가는 모든 트래픽은 반드시 'p10' 장비를 경유해야 합니다. 현재 구성에서 이 정책을 우회하는 경로가 존재합니까? [답변 형식: 'BYPASS (path: A→B→C)' 또는 'COMPLIANT'],"""VIOLATION (path: p7 -> p8)""",,,
19,SEC_BYPASS_p7_p8_pe1,L4,security_policy_bypass_check,text,보안 정책상 'p7'에서 'p8'로 가는 모든 트래픽은 반드시 'pe1' 장비를 경유해야 합니다. 현재 구성에서 이 정책을 우회하는 경로가 존재합니까? [답변 형식: 'BYPASS (path: A→B→C)' 또는 'COMPLIANT'],"""VIOLATION (path: p7 -> p8)""",,,
20,SEC_BYPASS_p8_p7_p10,L4,security_policy_bypass_check,text,보안 정책상 'p8'에서 'p7'로 가는 모든 트래픽은 반드시 'p10' 장비를 경유해야 합니다. 현재 구성에서 이 정책을 우회하는 경로가 존재합니까? [답변 형식: 'BYPASS (path: A→B→C)' 또는 'COMPLIANT'],"""VIOLATION (path: p8 -> p7)""",,,
21,TRACEROUTE_leaf10_leaf5,L4,traceroute_path,text,172.18.2.2에서 172.17.1.2까지의 네트워크 경로(장비 순서)를 나열해주세요. [답변 형식: 화살표(→)로 구분된 장비이름 목록(IP 주소 아님)],"""leaf10 -> pe5""",,,
22,TRACEROUTE_leaf10_leaf6,L4,traceroute_path,text,172.18.2.2에서 172.17.2.2까지의 네트워크 경로(장비 순서)를 나열해주세요. [답변 형식: 화살표(→)로 구분된 장비이름 목록(IP 주소 아님)],"""leaf10 -> pe5""",,,
23,TRACEROUTE_p10_p4,L4,traceroute_path,text,10.0.32.1에서 10.0.5.1까지의 네트워크 경로(장비 순서)를 나열해주세요. [답변 형식: 화살표(→)로 구분된 장비이름 목록(IP 주소 아님)],"""p10 -> asbr2 -> p8 -> p7 -> p6 -> p5 -> p3 -> p4""",,,
24,WAYPOINT_p10_pe5_p10,L4,waypoint_traversal_path,text,10.0.32.1에서 10.0.31.3로 가는 트래픽이 p10를 경유할 때의 전체 경로는 무엇입니까? [답변 형식: 'A → B → C' 형식 또는 '경유하지 않음'],"""p10 -> pe5""",,,
25,WAYPOINT_p10_pe5_pe1,L4,waypoint_traversal_path,text,10.0.32.1에서 10.0.31.3로 가는 트래픽이 pe1를 경유할 때의 전체 경로는 무엇입니까? [답변 형식: 'A → B → C' 형식 또는 '경유하지 않음'],"""NOT_TRAVERSED""",,,
26,WAYPOINT_p10_pe5_pe6,L4,waypoint_traversal_path,text,10.0.32.1에서 10.0.31.3로 가는 트래픽이 pe6를 경유할 때의 전체 경로는 무엇입니까? [답변 형식: 'A → B → C' 형식 또는 '경유하지 않음'],"""NOT_TRAVERSED""",,,
27,CONFIG_CHANGE_BASELINE,L5,config_change_impact,text,"설정 변경 후 p7에서 p8까지의 경로/도달성 변경 여부를 알려주세요. [답변 형식: 'NO_CHANGE' 또는 'CHANGED (N건: 흐름1, 흐름2, ...)']","""CHANGED (70 entries: 10.0.30.1 -> 10.0.32.1, 10.10.10.1 -> 10.0.32.1, 10.0.30.3 -> 10.0.32.1)""",,,
28,DIFF_REACH_BASELINE,L5,differential_reachability,text,"변경 전후 p7에서 p8로의 도달성에 차이가 있습니까? [답변 형식: 'NO_DIFF' 또는 'DIFF (N건: 흐름1, 흐름2, ...)']","""NO_DIFF""",,,
29,DUAL_FAILURE_p1_p2,L5,redundancy_verification,text,p1과 p2가 동시에 다운되면 고립되는 흐름이 있습니까? 몇 개입니까? [답변 형식: 'NONE' 또는 숫자],"""43""",,,
30,DUAL_FAILURE_p3_p4,L5,redundancy_verification,text,p3과 p4가 동시에 다운되면 고립되는 흐름이 있습니까? 몇 개입니까? [답변 형식: 'NONE' 또는 숫자],"""43""",,,
31,DUAL_FAILURE_p5_p6,L5,redundancy_verification,text,p5와 p6가 동시에 다운되면 고립되는 흐름이 있습니까? 몇 개입니까? [답변 형식: 'NONE' 또는 숫자],"""43""",,,
32,K_FAILURE_p7_p8,L5,redundant_paths_list,set,"p7에서 10.0.16.1로 가는 대체 경로들을 모두 나열해주세요. [답변 형식: 경로 목록 (예: [""A→B→C"", ""A→D→C""])]","[""p7 → p8""]",,,
33,LINK_FAILURE_asbr1_p7,L5,link_failure_impact,text,"'asbr1-p7' 링크가 다운될 경우, 'p7→p8' 트래픽에 어떤 영향이 발생합니까? [답변 형식: 'NONE', 'REROUTED', 'DISCONNECTED']","""NONE""",,,
34,LINK_FAILURE_asbr1_p9,L5,link_failure_impact,text,"'asbr1-p9' 링크가 다운될 경우, 'p7→p8' 트래픽에 어떤 영향이 발생합니까? [답변 형식: 'NONE', 'REROUTED', 'DISCONNECTED']","""NONE""",,,
35,LINK_FAILURE_asbr1_pe5,L5,link_failure_impact,text,"'asbr1-pe5' 링크가 다운될 경우, 'p7→p8' 트래픽에 어떤 영향이 발생합니까? [답변 형식: 'NONE', 'REROUTED', 'DISCONNECTED']","""NONE""",,,
36,NEGATIVE_TEST_FAKE_NODE,L5,non_existent_node_check,number,non_existent_router_999 장비가 다운되면 몇 개의 트래픽 흐름이 차단됩니까? [답변 형식: 숫자],0,,,
37,NODE_FAILURE_p10,L5,node_failure_impact,number,p10 장비가 다운되면 몇 개의 트래픽 흐름이 새로 차단됩니까? [답변 형식: 숫자],43,,,
38,NODE_FAILURE_pe1,L5,node_failure_impact,number,pe1 장비가 다운되면 몇 개의 트래픽 흐름이 새로 차단됩니까? [답변 형식: 숫자],43,,,
39,NODE_FAILURE_pe6,L5,node_failure_impact,number,pe6 장비가 다운되면 몇 개의 트래픽 흐름이 새로 차단됩니까? [답변 형식: 숫자],45,,,
40,OSPF_AREA0_ROUTERS_GLOBAL,L5,ospf_area0_routers,set,"OSPF Backbone Area(Area 0)에 속한 라우터 목록은 무엇입니까? [답변 형식: 라우터 이름 목록 (예: [""spine1"", ""spine2"", ""p1""])]","[""asbr1"", ""asbr2"", ""p6"", ""p7"", ""p8""]",,,
41,POLICY_COMPLIANCE_p10,L5,policy_compliance_check,text,"'MANDATORY_WAYPOINT_p10' 정책 준수 여부와 위반 사례를 알려주세요. [답변 형식: 'COMPLIANT' 또는 'VIOLATION: 흐름1, 흐름2, ...']","""VIOLATION: 10.0.30.1 -> 8.8.8.8, 10.10.10.1 -> 8.8.8.8, 10.0.30.3 -> 8.8.8.8""",,,
42,ROOT_CAUSE_leaf10_leaf6,L5,root_cause_analysis,text,"leaf10에서 leaf6로의 통신이 실패할 때, 어느 장비에서 차단됩니까? [답변 형식: 장비명]","""pe5""",,,
43,ROOT_CAUSE_leaf5_p5,L5,root_cause_analysis,text,"leaf5에서 p5로의 통신이 실패할 때, 어느 장비에서 차단됩니까? [답변 형식: 장비명]","""pe3""",,,
44,ROOT_CAUSE_p10_leaf6,L5,root_cause_analysis,text,"p10에서 leaf6로의 통신이 실패할 때, 어느 장비에서 차단됩니까? [답변 형식: 장비명]","""p10""",,,
45,SPOF_DETECTION_GLOBAL,L5,spof_detection,set_str,"단일 장비 장애 시 통신이 두절되는 구간(SPOF: Single Point of Failure)이 존재합니까? [답변 형식: SPOF 장비 목록 (예: [""p1"", ""pe1""]) 또는 빈 목록 []]","[""p7""]",,,
46,TRIPLE_FAILURE_p1_p2_p3,L5,triple_node_failure,text,"p1, p2, p3가 동시에 다운되면 네트워크가 완전히 분리됩니까? [답변 형식: 'YES' 또는 'NO (affected_flows: N)']","""NO (affected_flows: 42)""",,,
47,WORST_CASE_FAILURE,L5,worst_case_failure_analysis,text,단일 장비 장애 시 가장 큰 영향을 주는 장비는? [답변 형식: 'device_name (N)'],"""pe6(45)""",,,
