id,id_v2,level,metric,answer_type,status,reason,replay_answer,dataset_answer,match,score,detail
TRACEROUTE_p1_leaf10,traceroute_path:1d2a71442b,L4,traceroute_path,text,MATCH,,p1,"""p1""",True,1.0,exact
TRACEROUTE_leaf12_leaf3,traceroute_path:08699d45dc,L4,traceroute_path,text,MATCH,,leaf12 -> pe6,"""leaf12 -> pe6""",True,1.0,exact
TRACEROUTE_p10_pe4,traceroute_path:71040b2272,L4,traceroute_path,text,MATCH,,p10 -> asbr2 -> p8 -> pe4,"""p10 -> asbr2 -> p8 -> pe4""",True,1.0,exact
TRACEROUTE_pe4_leaf1,traceroute_path:7f17a328e7,L4,traceroute_path,text,MATCH,,pe4,"""pe4""",True,1.0,exact
TRACEROUTE_leaf11_p9,traceroute_path:bca5863a51,L4,traceroute_path,text,MATCH,,leaf11 -> pe6,"""leaf11 -> pe6""",True,1.0,exact
TRACEROUTE_leaf8_leaf7,traceroute_path:af0f40c009,L4,traceroute_path,text,MATCH,,leaf8 -> pe4,"""leaf8 -> pe4""",True,1.0,exact
TRACEROUTE_leaf6_leaf9,traceroute_path:03b563078f,L4,traceroute_path,text,MATCH,,leaf6 -> pe3,"""leaf6 -> pe3""",True,1.0,exact
TRACEROUTE_leaf12_p1,traceroute_path:a91d0abf0d,L4,traceroute_path,text,MATCH,,leaf12 -> pe6,"""leaf12 -> pe6""",True,1.0,exact
TRACEROUTE_leaf10_p6,traceroute_path:f49db49615,L4,traceroute_path,text,MATCH,,leaf10 -> pe5,"""leaf10 -> pe5""",True,1.0,exact
TRACEROUTE_pe1_p6,traceroute_path:ca0ab732a8,L4,traceroute_path,text,MATCH,,pe1 -> p1 -> p3 -> p5 -> p6,"""pe1 -> p1 -> p3 -> p5 -> p6""",True,1.0,exact
TRACEROUTE_p10_p5,traceroute_path:1233688a34,L4,traceroute_path,text,MATCH,,p10 -> asbr2 -> p8 -> p7 -> p6 -> p5,"""p10 -> asbr2 -> p8 -> p7 -> p6 -> p5""",True,1.0,exact
TRACEROUTE_p4_leaf6,traceroute_path:9889d46fef,L4,traceroute_path,text,MATCH,,p4,"""p4""",True,1.0,exact
TRACEROUTE_pe6_p7,traceroute_path:649f2c5768,L4,traceroute_path,text,MATCH,,pe6 -> asbr2 -> p8 -> p7,"""pe6 -> asbr2 -> p8 -> p7""",True,1.0,exact
TRACEROUTE_asbr1_p3,traceroute_path:ee8bc45fe9,L4,traceroute_path,text,MATCH,,asbr1 -> p7 -> p6 -> p5 -> p3,"""asbr1 -> p7 -> p6 -> p5 -> p3""",True,1.0,exact
TRACEROUTE_asbr2_p3,traceroute_path:097e1c1f8e,L4,traceroute_path,text,MATCH,,asbr2 -> p8 -> p7 -> p6 -> p5 -> p3,"""asbr2 -> p8 -> p7 -> p6 -> p5 -> p3""",True,1.0,exact
TRACEROUTE_p7_pe5,traceroute_path:85c5269ad5,L4,traceroute_path,text,MATCH,,p7 -> asbr1 -> pe5,"""p7 -> asbr1 -> pe5""",True,1.0,exact
TRACEROUTE_asbr1_leaf2,traceroute_path:ce40d22460,L4,traceroute_path,text,MATCH,,asbr1,"""asbr1""",True,1.0,exact
TRACEROUTE_leaf10_pe5,traceroute_path:8905954277,L4,traceroute_path,text,MATCH,,leaf10 -> pe5,"""leaf10 -> pe5""",True,1.0,exact
TRACEROUTE_leaf11_p8,traceroute_path:66a0d41718,L4,traceroute_path,text,MATCH,,leaf11 -> pe6,"""leaf11 -> pe6""",True,1.0,exact
TRACEROUTE_leaf5_p8,traceroute_path:176336e911,L4,traceroute_path,text,MATCH,,leaf5 -> pe3,"""leaf5 -> pe3""",True,1.0,exact
TRACEROUTE_pe3_p6,traceroute_path:dfcdb86c8b,L4,traceroute_path,text,MATCH,,pe3 -> p5 -> p6,"""pe3 -> p5 -> p6""",True,1.0,exact
TRACEROUTE_p3_leaf3,traceroute_path:9368949ec2,L4,traceroute_path,text,MATCH,,p3,"""p3""",True,1.0,exact
TRACEROUTE_leaf1_p9,traceroute_path:df1e74d27b,L4,traceroute_path,text,MATCH,,leaf1 -> pe1,"""leaf1 -> pe1""",True,1.0,exact
TRACEROUTE_leaf12_pe2,traceroute_path:e2a334141a,L4,traceroute_path,text,MATCH,,leaf12 -> pe6,"""leaf12 -> pe6""",True,1.0,exact
TRACEROUTE_p7_leaf2,traceroute_path:ded2852f56,L4,traceroute_path,text,MATCH,,p7,"""p7""",True,1.0,exact
TRACEROUTE_p1_asbr1,traceroute_path:8ef33d9518,L4,traceroute_path,text,MATCH,,p1 -> p3 -> p5 -> p6 -> p7 -> asbr1,"""p1 -> p3 -> p5 -> p6 -> p7 -> asbr1""",True,1.0,exact
TRACEROUTE_leaf6_p6,traceroute_path:654e796ff0,L4,traceroute_path,text,MATCH,,leaf6 -> pe3,"""leaf6 -> pe3""",True,1.0,exact
TRACEROUTE_pe1_asbr1,traceroute_path:e6549e3c68,L4,traceroute_path,text,MATCH,,pe1 -> p1 -> p3 -> p5 -> p6 -> p7 -> asbr1,"""pe1 -> p1 -> p3 -> p5 -> p6 -> p7 -> asbr1""",True,1.0,exact
TRACEROUTE_pe4_leaf2,traceroute_path:cfa847a2ab,L4,traceroute_path,text,MATCH,,pe4,"""pe4""",True,1.0,exact
TRACEROUTE_pe3_p8,traceroute_path:ace6e63a73,L4,traceroute_path,text,MATCH,,pe3 -> p5 -> p6 -> p7 -> p8,"""pe3 -> p5 -> p6 -> p7 -> p8""",True,1.0,exact
TRACEROUTE_p7_leaf7,traceroute_path:bdf83d4f85,L4,traceroute_path,text,MATCH,,p7,"""p7""",True,1.0,exact
TRACEROUTE_pe1_p2,traceroute_path:9963f3154f,L4,traceroute_path,text,MATCH,,pe1 -> p1 -> p2,"""pe1 -> p1 -> p2""",True,1.0,exact
TRACEROUTE_pe1_leaf11,traceroute_path:ed1ab03747,L4,traceroute_path,text,MATCH,,pe1,"""pe1""",True,1.0,exact
TRACEROUTE_asbr2_leaf3,traceroute_path:62124e243a,L4,traceroute_path,text,MATCH,,asbr2,"""asbr2""",True,1.0,exact
TRACEROUTE_p8_pe5,traceroute_path:8b8862d730,L4,traceroute_path,text,MATCH,,p8 -> p7 -> asbr1 -> pe5,"""p8 -> p7 -> asbr1 -> pe5""",True,1.0,exact
TRACEROUTE_pe4_p4,traceroute_path:c727d06a9c,L4,traceroute_path,text,MATCH,,pe4 -> p6 -> p5 -> p3 -> p4,"""pe4 -> p6 -> p5 -> p3 -> p4""",True,1.0,exact
TRACEROUTE_leaf11_leaf7,traceroute_path:88aad56e94,L4,traceroute_path,text,MATCH,,leaf11 -> pe6,"""leaf11 -> pe6""",True,1.0,exact
TRACEROUTE_pe4_leaf4,traceroute_path:624e535119,L4,traceroute_path,text,MATCH,,pe4,"""pe4""",True,1.0,exact
TRACEROUTE_leaf1_leaf8,traceroute_path:947a2759c5,L4,traceroute_path,text,MATCH,,leaf1 -> pe1,"""leaf1 -> pe1""",True,1.0,exact
TRACEROUTE_pe2_asbr1,traceroute_path:569993a14c,L4,traceroute_path,text,MATCH,,pe2 -> p4 -> p3 -> p5 -> p6 -> p7 -> asbr1,"""pe2 -> p4 -> p3 -> p5 -> p6 -> p7 -> asbr1""",True,1.0,exact
TRACEROUTE_leaf12_p6,traceroute_path:dcdd48275a,L4,traceroute_path,text,MATCH,,leaf12 -> pe6,"""leaf12 -> pe6""",True,1.0,exact
TRACEROUTE_p8_leaf4,traceroute_path:54fb1519a7,L4,traceroute_path,text,MATCH,,p8,"""p8""",True,1.0,exact
TRACEROUTE_pe4_asbr2,traceroute_path:0e4d054020,L4,traceroute_path,text,MATCH,,pe4 -> p8 -> asbr2,"""pe4 -> p8 -> asbr2""",True,1.0,exact
TRACEROUTE_p4_p6,traceroute_path:b57ecc13db,L4,traceroute_path,text,MATCH,,p4 -> p3 -> p5 -> p6,"""p4 -> p3 -> p5 -> p6""",True,1.0,exact
TRACEROUTE_p7_p8,traceroute_path:f5e3f80c63,L4,traceroute_path,text,MATCH,,p7 -> p8,"""p7 -> p8""",True,1.0,exact
TRACEROUTE_asbr2_pe5,traceroute_path:507680f655,L4,traceroute_path,text,MATCH,,asbr2 -> p10 -> pe5,"""asbr2 -> p10 -> pe5""",True,1.0,exact
TRACEROUTE_pe6_asbr1,traceroute_path:e3266b0dde,L4,traceroute_path,text,MATCH,,pe6 -> p9 -> asbr1,"""pe6 -> p9 -> asbr1""",True,1.0,exact
TRACEROUTE_pe3_p5,traceroute_path:93fef30353,L4,traceroute_path,text,MATCH,,pe3 -> p5,"""pe3 -> p5""",True,1.0,exact
TRACEROUTE_pe2_leaf6,traceroute_path:17e8d82e97,L4,traceroute_path,text,MATCH,,pe2,"""pe2""",True,1.0,exact
TRACEROUTE_pe4_pe2,traceroute_path:f0b0344542,L4,traceroute_path,text,MATCH,,pe4 -> p6 -> p5 -> p3 -> p1 -> p2 -> pe2,"""pe4 -> p6 -> p5 -> p3 -> p1 -> p2 -> pe2""",True,1.0,exact
TRACEROUTE_pe6_leaf8,traceroute_path:6db4b08563,L4,traceroute_path,text,MATCH,,pe6,"""pe6""",True,1.0,exact
TRACEROUTE_p8_leaf7,traceroute_path:5b16122db5,L4,traceroute_path,text,MATCH,,p8,"""p8""",True,1.0,exact
TRACEROUTE_p1_pe5,traceroute_path:186545f9b2,L4,traceroute_path,text,MATCH,,p1 -> p3 -> p5 -> p6 -> p7 -> asbr1 -> pe5,"""p1 -> p3 -> p5 -> p6 -> p7 -> asbr1 -> pe5""",True,1.0,exact
TRACEROUTE_leaf6_leaf7,traceroute_path:1279ae07ff,L4,traceroute_path,text,MATCH,,leaf6 -> pe3,"""leaf6 -> pe3""",True,1.0,exact
TRACEROUTE_leaf11_pe5,traceroute_path:a08c01370e,L4,traceroute_path,text,MATCH,,leaf11 -> pe6,"""leaf11 -> pe6""",True,1.0,exact
TRACEROUTE_pe1_leaf10,traceroute_path:196063462e,L4,traceroute_path,text,MATCH,,pe1,"""pe1""",True,1.0,exact
TRACEROUTE_p4_leaf3,traceroute_path:3fa7c5cc3e,L4,traceroute_path,text,MATCH,,p4,"""p4""",True,1.0,exact
TRACEROUTE_pe1_leaf8,traceroute_path:9e1f072e38,L4,traceroute_path,text,MATCH,,pe1,"""pe1""",True,1.0,exact
TRACEROUTE_pe4_p7,traceroute_path:9b7ae36454,L4,traceroute_path,text,MATCH,,pe4 -> p6 -> p7,"""pe4 -> p6 -> p7""",True,1.0,exact
TRACEROUTE_p4_p5,traceroute_path:fdda2989b7,L4,traceroute_path,text,MATCH,,p4 -> p3 -> p5,"""p4 -> p3 -> p5""",True,1.0,exact
TRACEROUTE_leaf10_leaf2,traceroute_path:76807f87c3,L4,traceroute_path,text,MATCH,,leaf10 -> pe5,"""leaf10 -> pe5""",True,1.0,exact
TRACEROUTE_p10_leaf3,traceroute_path:093cc2b03d,L4,traceroute_path,text,MATCH,,p10,"""p10""",True,1.0,exact
TRACEROUTE_leaf10_p9,traceroute_path:238f9d8dce,L4,traceroute_path,text,MATCH,,leaf10 -> pe5,"""leaf10 -> pe5""",True,1.0,exact
TRACEROUTE_p7_leaf3,traceroute_path:287422755a,L4,traceroute_path,text,MATCH,,p7,"""p7""",True,1.0,exact
TRACEROUTE_pe6_p4,traceroute_path:978b29a75c,L4,traceroute_path,text,MATCH,,pe6 -> asbr2 -> p8 -> p7 -> p6 -> p5 -> p3 -> p4,"""pe6 -> asbr2 -> p8 -> p7 -> p6 -> p5 -> p3 -> p4""",True,1.0,exact
TRACEROUTE_leaf5_p6,traceroute_path:c5c8bb01ef,L4,traceroute_path,text,MATCH,,leaf5 -> pe3,"""leaf5 -> pe3""",True,1.0,exact
TRACEROUTE_pe4_p9,traceroute_path:6a26382fcf,L4,traceroute_path,text,MATCH,,pe4 -> p6 -> p7 -> asbr1 -> p9,"""pe4 -> p6 -> p7 -> asbr1 -> p9""",True,1.0,exact
TRACEROUTE_leaf11_leaf4,traceroute_path:f2ff33ed87,L4,traceroute_path,text,MATCH,,leaf11 -> pe6,"""leaf11 -> pe6""",True,1.0,exact
TRACEROUTE_pe1_leaf4,traceroute_path:5f5ad2c1b9,L4,traceroute_path,text,MATCH,,pe1,"""pe1""",True,1.0,exact
TRACEROUTE_p9_p5,traceroute_path:2acabdd894,L4,traceroute_path,text,MATCH,,p9 -> asbr1 -> p7 -> p6 -> p5,"""p9 -> asbr1 -> p7 -> p6 -> p5""",True,1.0,exact
TRACEROUTE_leaf1_p4,traceroute_path:7286e34e9e,L4,traceroute_path,text,MATCH,,leaf1 -> pe1,"""leaf1 -> pe1""",True,1.0,exact
TRACEROUTE_leaf9_leaf3,traceroute_path:7c53fd9e47,L4,traceroute_path,text,MATCH,,leaf9 -> pe5,"""leaf9 -> pe5""",True,1.0,exact
TRACEROUTE_p7_leaf6,traceroute_path:b11edfda0b,L4,traceroute_path,text,MATCH,,p7,"""p7""",True,1.0,exact
TRACEROUTE_pe2_leaf7,traceroute_path:f5c0129c2e,L4,traceroute_path,text,MATCH,,pe2,"""pe2""",True,1.0,exact
TRACEROUTE_pe1_pe3,traceroute_path:831925086b,L4,traceroute_path,text,MATCH,,pe1 -> p1 -> p3 -> p5 -> pe3,"""pe1 -> p1 -> p3 -> p5 -> pe3""",True,1.0,exact
TRACEROUTE_pe6_p2,traceroute_path:b9b7ed6181,L4,traceroute_path,text,MATCH,,pe6 -> asbr2 -> p8 -> p7 -> p6 -> p5 -> p3 -> p1 -> p2,"""pe6 -> asbr2 -> p8 -> p7 -> p6 -> p5 -> p3 -> p1 -> p2""",True,1.0,exact
TRACEROUTE_p7_p1,traceroute_path:4046d29308,L4,traceroute_path,text,MATCH,,p7 -> p6 -> p5 -> p3 -> p1,"""p7 -> p6 -> p5 -> p3 -> p1""",True,1.0,exact
TRACEROUTE_leaf9_leaf7,traceroute_path:5888540b36,L4,traceroute_path,text,MATCH,,leaf9 -> pe5,"""leaf9 -> pe5""",True,1.0,exact
TRACEROUTE_p3_p5,traceroute_path:3f557fdf61,L4,traceroute_path,text,MATCH,,p3 -> p5,"""p3 -> p5""",True,1.0,exact
TRACEROUTE_leaf12_leaf9,traceroute_path:d2e5c4a978,L4,traceroute_path,text,MATCH,,leaf12 -> pe6,"""leaf12 -> pe6""",True,1.0,exact
TRACEROUTE_leaf1_leaf6,traceroute_path:e8c33070c3,L4,traceroute_path,text,MATCH,,leaf1 -> pe1,"""leaf1 -> pe1""",True,1.0,exact
TRACEROUTE_pe6_p5,traceroute_path:8321f5fe83,L4,traceroute_path,text,MATCH,,pe6 -> asbr2 -> p8 -> p7 -> p6 -> p5,"""pe6 -> asbr2 -> p8 -> p7 -> p6 -> p5""",True,1.0,exact
TRACEROUTE_leaf11_leaf3,traceroute_path:0e98471077,L4,traceroute_path,text,MATCH,,leaf11 -> pe6,"""leaf11 -> pe6""",True,1.0,exact
TRACEROUTE_leaf11_asbr1,traceroute_path:45ff467769,L4,traceroute_path,text,MATCH,,leaf11 -> pe6,"""leaf11 -> pe6""",True,1.0,exact
TRACEROUTE_p10_leaf10,traceroute_path:59ac1cb77e,L4,traceroute_path,text,MATCH,,p10,"""p10""",True,1.0,exact
TRACEROUTE_pe6_leaf10,traceroute_path:1a51311d32,L4,traceroute_path,text,MATCH,,pe6,"""pe6""",True,1.0,exact
TRACEROUTE_leaf6_p9,traceroute_path:ae7b3c4252,L4,traceroute_path,text,MATCH,,leaf6 -> pe3,"""leaf6 -> pe3""",True,1.0,exact
TRACEROUTE_p10_leaf9,traceroute_path:154b76c999,L4,traceroute_path,text,MATCH,,p10,"""p10""",True,1.0,exact
TRACEROUTE_leaf10_leaf7,traceroute_path:1c463ed4fb,L4,traceroute_path,text,MATCH,,leaf10 -> pe5,"""leaf10 -> pe5""",True,1.0,exact
TRACEROUTE_pe4_pe5,traceroute_path:e7ec4d4ae1,L4,traceroute_path,text,MATCH,,pe4 -> p6 -> p7 -> asbr1 -> pe5,"""pe4 -> p6 -> p7 -> asbr1 -> pe5""",True,1.0,exact
TRACEROUTE_pe6_p1,traceroute_path:4e0a03cb01,L4,traceroute_path,text,MATCH,,pe6 -> asbr2 -> p8 -> p7 -> p6 -> p5 -> p3 -> p1,"""pe6 -> asbr2 -> p8 -> p7 -> p6 -> p5 -> p3 -> p1""",True,1.0,exact
TRACEROUTE_pe6_leaf11,traceroute_path:fb53073c44,L4,traceroute_path,text,MATCH,,pe6,"""pe6""",True,1.0,exact
TRACEROUTE_leaf6_leaf4,traceroute_path:86e6dc4398,L4,traceroute_path,text,MATCH,,leaf6 -> pe3,"""leaf6 -> pe3""",True,1.0,exact
TRACEROUTE_p10_leaf11,traceroute_path:109baa3aa6,L4,traceroute_path,text,MATCH,,p10,"""p10""",True,1.0,exact
TRACEROUTE_pe3_leaf6,traceroute_path:eed8e6a2c1,L4,traceroute_path,text,MATCH,,pe3,"""pe3""",True,1.0,exact
TRACEROUTE_leaf10_p8,traceroute_path:0d40ebb4b5,L4,traceroute_path,text,MATCH,,leaf10 -> pe5,"""leaf10 -> pe5""",True,1.0,exact
TRACEROUTE_leaf1_p5,traceroute_path:5663bb4d62,L4,traceroute_path,text,MATCH,,leaf1 -> pe1,"""leaf1 -> pe1""",True,1.0,exact
TRACEROUTE_pe3_leaf7,traceroute_path:379acdabcc,L4,traceroute_path,text,MATCH,,pe3,"""pe3""",True,1.0,exact
TRACEROUTE_pe6_leaf6,traceroute_path:c1db308a25,L4,traceroute_path,text,MATCH,,pe6,"""pe6""",True,1.0,exact
TRACEROUTE_pe4_asbr1,traceroute_path:854492d5a9,L4,traceroute_path,text,MATCH,,pe4 -> p6 -> p7 -> asbr1,"""pe4 -> p6 -> p7 -> asbr1""",True,1.0,exact
TRACEROUTE_pe6_leaf2,traceroute_path:3af1e82539,L4,traceroute_path,text,MATCH,,pe6,"""pe6""",True,1.0,exact
TRACEROUTE_p10_pe2,traceroute_path:2258abd701,L4,traceroute_path,text,MATCH,,p10 -> asbr2 -> p8 -> p7 -> p6 -> p5 -> p3 -> p1 -> p2 -> pe2,"""p10 -> asbr2 -> p8 -> p7 -> p6 -> p5 -> p3 -> p1 -> p2 -> pe2""",True,1.0,exact
TRACEROUTE_p9_pe5,traceroute_path:4403066d19,L4,traceroute_path,text,MATCH,,p9 -> asbr1 -> pe5,"""p9 -> asbr1 -> pe5""",True,1.0,exact
TRACEROUTE_pe2_pe5,traceroute_path:5df14fc344,L4,traceroute_path,text,MATCH,,pe2 -> p4 -> p3 -> p5 -> p6 -> p7 -> asbr1 -> pe5,"""pe2 -> p4 -> p3 -> p5 -> p6 -> p7 -> asbr1 -> pe5""",True,1.0,exact
TRACEROUTE_pe6_leaf9,traceroute_path:2392643c1e,L4,traceroute_path,text,MATCH,,pe6,"""pe6""",True,1.0,exact
TRACEROUTE_leaf12_leaf10,traceroute_path:f07422a65e,L4,traceroute_path,text,MATCH,,leaf12 -> pe6,"""leaf12 -> pe6""",True,1.0,exact
TRACEROUTE_pe1_p4,traceroute_path:82f43d0fc6,L4,traceroute_path,text,MATCH,,pe1 -> p1 -> p2 -> p4,"""pe1 -> p1 -> p2 -> p4""",True,1.0,exact
TRACEROUTE_p7_asbr1,traceroute_path:868f4619f1,L4,traceroute_path,text,MATCH,,p7 -> asbr1,"""p7 -> asbr1""",True,1.0,exact
TRACEROUTE_leaf12_leaf11,traceroute_path:e386a68652,L4,traceroute_path,text,MATCH,,leaf12 -> pe6,"""leaf12 -> pe6""",True,1.0,exact
TRACEROUTE_asbr1_leaf5,traceroute_path:1e01c8c9ab,L4,traceroute_path,text,MATCH,,asbr1,"""asbr1""",True,1.0,exact
TRACEROUTE_leaf5_leaf8,traceroute_path:4485fff6f0,L4,traceroute_path,text,MATCH,,leaf5 -> pe3,"""leaf5 -> pe3""",True,1.0,exact
TRACEROUTE_p4_leaf8,traceroute_path:16ba951a01,L4,traceroute_path,text,MATCH,,p4,"""p4""",True,1.0,exact
TRACEROUTE_pe4_p3,traceroute_path:7e0c8fc240,L4,traceroute_path,text,MATCH,,pe4 -> p6 -> p5 -> p3,"""pe4 -> p6 -> p5 -> p3""",True,1.0,exact
TRACEROUTE_leaf10_asbr1,traceroute_path:57dd420e22,L4,traceroute_path,text,MATCH,,leaf10 -> pe5,"""leaf10 -> pe5""",True,1.0,exact
TRACEROUTE_pe4_leaf5,traceroute_path:a2b17e93e4,L4,traceroute_path,text,MATCH,,pe4,"""pe4""",True,1.0,exact
TRACEROUTE_p7_p9,traceroute_path:89822b4d4c,L4,traceroute_path,text,MATCH,,p7 -> asbr1 -> p9,"""p7 -> asbr1 -> p9""",True,1.0,exact
TRACEROUTE_leaf12_leaf5,traceroute_path:24af676f44,L4,traceroute_path,text,MATCH,,leaf12 -> pe6,"""leaf12 -> pe6""",True,1.0,exact
TRACEROUTE_leaf1_leaf10,traceroute_path:47295b41f2,L4,traceroute_path,text,MATCH,,leaf1 -> pe1,"""leaf1 -> pe1""",True,1.0,exact
TRACEROUTE_leaf9_p6,traceroute_path:6cade7f7e3,L4,traceroute_path,text,MATCH,,leaf9 -> pe5,"""leaf9 -> pe5""",True,1.0,exact
TRACEROUTE_p1_leaf8,traceroute_path:8553df0697,L4,traceroute_path,text,MATCH,,p1,"""p1""",True,1.0,exact
TRACEROUTE_p1_leaf6,traceroute_path:1b932afd68,L4,traceroute_path,text,MATCH,,p1,"""p1""",True,1.0,exact
TRACEROUTE_leaf11_p1,traceroute_path:8ce341eed2,L4,traceroute_path,text,MATCH,,leaf11 -> pe6,"""leaf11 -> pe6""",True,1.0,exact
TRACEROUTE_leaf1_leaf7,traceroute_path:978358d17f,L4,traceroute_path,text,MATCH,,leaf1 -> pe1,"""leaf1 -> pe1""",True,1.0,exact
TRACEROUTE_p4_leaf7,traceroute_path:62e4ac4a3a,L4,traceroute_path,text,MATCH,,p4,"""p4""",True,1.0,exact
TRACEROUTE_leaf5_leaf7,traceroute_path:1b39dca268,L4,traceroute_path,text,MATCH,,leaf5 -> pe3,"""leaf5 -> pe3""",True,1.0,exact
TRACEROUTE_leaf9_p5,traceroute_path:e58da54df5,L4,traceroute_path,text,MATCH,,leaf9 -> pe5,"""leaf9 -> pe5""",True,1.0,exact
TRACEROUTE_leaf11_p2,traceroute_path:339f16148e,L4,traceroute_path,text,MATCH,,leaf11 -> pe6,"""leaf11 -> pe6""",True,1.0,exact
TRACEROUTE_leaf3_p6,traceroute_path:9c54803a2e,L4,traceroute_path,text,MATCH,,leaf3 -> pe2,"""leaf3 -> pe2""",True,1.0,exact
TRACEROUTE_leaf12_p2,traceroute_path:ea8eeb96c1,L4,traceroute_path,text,MATCH,,leaf12 -> pe6,"""leaf12 -> pe6""",True,1.0,exact
TRACEROUTE_leaf1_leaf4,traceroute_path:a841e885b9,L4,traceroute_path,text,MATCH,,leaf1 -> pe1,"""leaf1 -> pe1""",True,1.0,exact
TRACEROUTE_pe3_pe2,traceroute_path:3386a89652,L4,traceroute_path,text,MATCH,,pe3 -> p5 -> p3 -> p1 -> p2 -> pe2,"""pe3 -> p5 -> p3 -> p1 -> p2 -> pe2""",True,1.0,exact
TRACEROUTE_p10_leaf2,traceroute_path:d27bc4df60,L4,traceroute_path,text,MATCH,,p10,"""p10""",True,1.0,exact
TRACEROUTE_p4_p8,traceroute_path:d18ee49fb1,L4,traceroute_path,text,MATCH,,p4 -> p3 -> p5 -> p6 -> p7 -> p8,"""p4 -> p3 -> p5 -> p6 -> p7 -> p8""",True,1.0,exact
