level,category,metric,goal,target,notes,academic_reference
L3,Comparison_Analysis,all_devices_same_as,aggregation,GLOBAL,모든 장비가 같은 AS에 속하는지 확인,
L3,Comparison_Analysis,min_interface_device,aggregation,GLOBAL,인터페이스 수가 가장 적은 장비,
L3,Comparison_Analysis,bgp_as_distribution,aggregation,GLOBAL,각 AS별 장비 수 분포,
L3,Comparison_Analysis,vrf_usage_statistics,aggregation,GLOBAL,장비별 VRF 사용 통계,
L4,Reachability_Analysis,traceroute_path,reachability,FLOW,Batfish bf.q.traceroute() 사용,Batfish (NSDI'15)
L4,Reachability_Analysis,reachability_status,reachability,FLOW,A→B 도달 가능 여부 확인,"HSA (NSDI'12), VeriFlow (NSDI'13)"
L4,Reachability_Analysis,acl_blocking_point,reachability,FLOW,ACL에 의한 트래픽 차단 지점 식별,HSA (NSDI'12)
L4,Reachability_Analysis,loop_detection,invariant,GLOBAL,포워딩 루프 탐지 - loop-free invariant,"HSA (NSDI'12), VeriFlow (NSDI'13)"
L4,Reachability_Analysis,blackhole_detection,invariant,GLOBAL,블랙홀 탐지 - 패킷 드랍 지점,"HSA (NSDI'12), Minesweeper (SIGCOMM'17)"
L4,Reachability_Analysis,waypoint_check,policy,FLOW,"웨이포인트 통과 검증 (FW, IDS 등)","Minesweeper (SIGCOMM'17), Config2Spec (NSDI'20)"
L4,Reachability_Analysis,bounded_path_length,policy,FLOW,경로 홉 수 제한 검증,Minesweeper (SIGCOMM'17)
L4,Reachability_Analysis,isolation_check,isolation,VRF_PAIR,VRF/테넌트 간 격리 검증,"HSA (NSDI'12), Config2Spec (NSDI'20)"
L4,Reachability_Analysis,asymmetric_path_check,consistency,NODE_PAIR,비대칭 경로(Asymmetric Routing) 검사,Operational Best Practice
L5,What_If_Analysis,link_failure_impact,what_if,LINK_FAILURE,단일 링크 장애 영향 분석,"DNA (NSDI'22), Minesweeper (SIGCOMM'17)"
L5,What_If_Analysis,k_failure_tolerance,fault_tolerance,NODE_PAIR,k개 장애 내성 검증 (1-failure tolerance),"Minesweeper (SIGCOMM'17), Trailblazer (FM'23)"
L5,What_If_Analysis,config_change_impact,differential,CONFIG_CHANGE,설정 변경 전후 비교 분석,DNA (NSDI'22)
L5,What_If_Analysis,differential_reachability,differential,FLOW,변경 전후 도달성 차이 분석,DNA (NSDI'22)
L5,What_If_Analysis,policy_compliance_check,compliance,POLICY,네트워크 정책 준수 검증 (waypoint 등),Config2Spec (NSDI'20)
L5,What_If_Analysis,ospf_backbone_contiguity,invariant,GLOBAL,OSPF 백본 연속성 검증,"RFC 2328, Batfish"
L5,What_If_Analysis,spof_detection,fault_tolerance,GLOBAL,단일 장애점(SPOF) 탐지,Operational Best Practice
