#,qa_id,level,metric,answer_type,question,dataset_answer,files_to_check,my_answer,verdict,disagree_type,memo
11,OSPF_AREA_MEMBERSHIP_0,L2,ospf_area_membership,set_str,OSPF Area 0에 속한 장비 목록을 알려주세요. [답변 형식: JSON array],"[""p1"", ""p2"", ""p3"", ""p4"", ""p5"", ""p6"", ""p7"", ""p8"", ""pe1"", ""pe2"", ""pe3"", ""pe4""]",,,,,
12,OSPF_NEIGHBOR_COUNT_PER_AREA_0,L2,ospf_neighbor_count_per_area,number,OSPF Area 0의 이웃 관계는 총 몇 개입니까? [답변 형식: integer],0,,,,,
13,SSH_ENABLED_DEVICES,L2,ssh_enabled_devices,set_str,SSH 접속이 가능한 장비 목록을 알려주세요. [답변 형식: JSON array],"[""leaf1"", ""leaf2"", ""leaf3"", ""leaf4"", ""leaf5"", ""leaf6"", ""leaf7"", ""leaf8"", ""p1"", ""p2"", ""p3"", ""p4"", ""p5"", ""p6"", ""p7"", ""p8"", ""pe1"", ""pe2"", ""pe3"", ""pe4""]",,,,,
14,SSH_MISSING_COUNT,L2,ssh_missing_count,number,SSH 접속이 불가능한 장비는 총 몇 대입니까? [답변 형식: integer],0,,,,,
15,SSH_MISSING_DEVICES,L2,ssh_missing_devices,set_str,SSH 접속이 불가능한 장비 목록을 알려주세요. [답변 형식: JSON array],[],,,,,
16,ALL_DEVICES_SAME_AS,L3,all_devices_same_as,text,"모든 장비의 BGP AS 번호를 나열해주세요. BGP가 미설정된 장비는 'AS None'으로 표시하세요. [답변 형식: ""host1: AS X, host2: AS None, ...""]","""leaf1: AS N/A, leaf2: AS N/A, leaf3: AS N/A, leaf4: AS N/A, leaf5: AS N/A, leaf6: AS N/A, leaf7: AS N/A, leaf8: AS N/A, p1: AS N/A, p2: AS N/A, p3: AS N/A, p4: AS N/A, p5: AS N/A, p6: AS N/A, p7: AS N/A, p8: AS N/A, pe1: AS 65000, pe2: AS 65000, pe3: AS 65000, pe4: AS 65000""",,,,,
17,BGP_AS_DISTRIBUTION,L3,bgp_as_distribution,text,"각 AS별 장비 수 분포를 알려주세요. [답변 형식: ""AS X: N, AS Y: M""]","""AS 65000: 4 devices""",,,,,
18,COMPARE_BGP_AS_p7_pe4,L3,compare_bgp_as,text,"p7과 pe4의 BGP Local AS 번호를 각각 알려주세요. [답변 형식: 'p7: AS X, pe4: AS Y']","""p7: AS N/A, pe4: AS 65000""",,,,,
19,COMPARE_BGP_NEIGHBOR_COUNT_leaf1_leaf8,L3,compare_bgp_neighbor_count,map_str_int,"leaf1과 leaf8의 BGP 피어 수를 비교하세요. [답변 형식: JSON {{""host1_count"": <int>, ""host2_count"": <int>, ""difference"": <int>}}]","{""difference"": 0, ""host1_count"": 0, ""host2_count"": 0}",,,,,
20,COMPARE_INTERFACE_COUNT_pe2_pe3,L3,compare_interface_count,map_str_int,"pe2와 pe3의 인터페이스 수를 비교하세요. [답변 형식: JSON {{""host1_count"": <int>, ""host2_count"": <int>, ""difference"": <int>}}]","{""difference"": 1, ""host1_count"": 6, ""host2_count"": 5}",,,,,
21,COMPARE_OSPF_AREAS_p3_p6,L3,compare_ospf_areas,text,"p3과 p6가 참여하는 OSPF Area 목록을 각각 알려주세요. [답변 형식: 'p3: Area 0, 1, p6: Area 0, 2']","""p3: Area 0, p6: Area 0""",,,,,
22,COMPARE_VRF_COUNT_leaf8_pe2,L3,compare_vrf_count,map_str_int,"leaf8과 pe2의 VRF 수를 비교하세요. [답변 형식: JSON {{""host1_count"": <int>, ""host2_count"": <int>, ""difference"": <int>}}]","{""difference"": 3, ""host1_count"": 0, ""host2_count"": 3}",,,,,
23,IBGP_MISSING_PAIRS_65000,L3,ibgp_missing_pairs,set_str,AS 65000의 iBGP Full-Mesh에서 누락된 장비쌍 목록을 알려주세요. [답변 형식: JSON array],"[""pe1<->pe4"", ""pe2<->pe3""]",,,,,
24,IBGP_MISSING_PAIRS_COUNT_65000,L3,ibgp_missing_pairs_count,number,AS 65000의 iBGP Full-Mesh에서 누락된 링크는 총 몇 개입니까? [답변 형식: integer],2,,,,,
25,IBGP_UNDER_PEERED_COUNT_65000,L3,ibgp_under_peered_count,number,AS 65000에서 iBGP 피어 수가 부족한 장비는 총 몇 대입니까? [답변 형식: integer],4,,,,,
26,IBGP_UNDER_PEERED_DEVICES_65000,L3,ibgp_under_peered_devices,set_str,AS 65000에서 iBGP 피어 수가 부족한 장비 목록을 알려주세요. [답변 형식: JSON array],"[""pe1"", ""pe2"", ""pe3"", ""pe4""]",,,,,
27,L2VPN_MISMATCH_COUNT,L3,l2vpn_mismatch_count,number,PW-ID 불일치 또는 단방향 L2VPN 회선은 총 몇 개입니까? [답변 형식: integer],0,,,,,
28,L2VPN_PWID_MISMATCH_PAIRS,L3,l2vpn_pwid_mismatch_pairs,set_str,PW-ID가 불일치하는 L2VPN 회선(장비쌍) 목록을 알려주세요. [답변 형식: JSON array],[],,,,,
29,L2VPN_UNIDIRECTIONAL_PAIRS,L3,l2vpn_unidirectional_pairs,set_str,단방향으로만 설정된 L2VPN 회선(장비쌍) 목록을 알려주세요. [답변 형식: JSON array],[],,,,,
30,L2VPN_UNIDIR_COUNT,L3,l2vpn_unidir_count,number,단방향으로만 설정된 L2VPN 회선은 총 몇 개입니까? [답변 형식: integer],0,,,,,
31,MAX_BGP_PEER_DEVICE,L3,max_bgp_peer_device,text,"BGP 피어가 가장 많은 장비와 그 개수를 알려주세요. [답변 형식: ""hostname: N""]","""pe1: 2""",,,,,
32,MAX_INTERFACE_DEVICE,L3,max_interface_device,text,"인터페이스 수가 가장 많은 장비와 그 개수를 알려주세요. [답변 형식: ""hostname: N""]","""pe2: 6""",,,,,
33,MIN_INTERFACE_DEVICE,L3,min_interface_device,text,"인터페이스 수가 가장 적은 장비와 그 개수를 알려주세요. [답변 형식: ""hostname: N""]","""leaf1: 2""",,,,,
34,VRF_RT_LIST_PER_DEVICE_p3,L3,vrf_rt_list_per_device,set_str,p3 장비에 설정된 route-target(중복 제거) 전체 목록을 알려주세요. [답변 형식: JSON array],[],,,,,
35,VRF_RT_LIST_PER_DEVICE_pe2,L3,vrf_rt_list_per_device,set_str,pe2 장비에 설정된 route-target(중복 제거) 전체 목록을 알려주세요. [답변 형식: JSON array],"[""65000:100"", ""65000:200"", ""65000:300""]",,,,,
36,VRF_USAGE_STATISTICS,L3,vrf_usage_statistics,text,"VRF 사용중인 장비 중에서 각 장비별 VRF 사용 수를 알려주세요. [답변 형식: ""host1: N, host2: M""]","""leaf1: 0, leaf2: 0, leaf3: 0, leaf4: 0, leaf5: 0, leaf6: 0, leaf7: 0, leaf8: 0, p1: 0, p2: 0, p3: 0, p4: 0, p5: 0, p6: 0, p7: 0, p8: 0, pe1: 3, pe2: 3, pe3: 3, pe4: 3""",,,,,
37,VRF_WITHOUT_RT_COUNT,L3,vrf_without_rt_count,number,route-target이 없는 VRF(장비/VRF)는 총 몇 개입니까? [답변 형식: integer],0,,,,,
38,VRF_WITHOUT_RT_PAIRS,L3,vrf_without_rt_pairs,set_str,route-target이 없는 VRF(장비/VRF) 목록을 알려주세요. [답변 형식: JSON array],[],,,,,
