#,qa_id,level,metric,answer_type,question,dataset_answer,files_to_check,my_answer,verdict,disagree_type,memo
33,SYSTEM_TIMEZONE_TEXT_pe2,L1,system_timezone_text,text,pe2 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: 설정값 또는 null],"""KST 9""",,,,,
34,SYSTEM_TIMEZONE_TEXT_pe4,L1,system_timezone_text,text,pe4 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: 설정값 또는 null],"""KST 9""",,,,,
35,SYSTEM_TIMEZONE_TEXT_pe7,L1,system_timezone_text,text,pe7 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: 설정값 또는 null],"""KST 9""",,,,,
36,SYSTEM_TIMEZONE_TEXT_pe8,L1,system_timezone_text,text,pe8 장비의 시간대(Timezone)는 무엇입니까? [답변 형식: 설정값 또는 null],"""KST 9""",,,,,
37,AAA_ENABLED_DEVICES,L2,aaa_enabled_devices,set,AAA 기능이 활성화된 장비 목록을 알려주세요. [답변 형식: 리스트],"[""asbr1"", ""asbr2"", ""pe1"", ""pe2"", ""pe3"", ""pe4"", ""pe5"", ""pe6"", ""pe7"", ""pe8""]",,,,,
38,AAA_MISSING_DEVICES,L2,aaa_missing_devices,set,AAA 기능이 비활성화된 장비 목록을 알려주세요. [답변 형식: 리스트],"[""fw1"", ""fw2"", ""leaf1"", ""leaf10"", ""leaf11"", ""leaf12"", ""leaf13"", ""leaf14"", ""leaf15"", ""leaf16"", ""leaf2"", ""leaf3"", ""leaf4"", ""leaf5"", ""leaf6"", ""leaf7"", ""leaf8"", ""leaf9"", ""p1"", ""p10"", ""p11"", ""p12"", ""p2"", ""p3"", ""p4"", ""p5"", ""p6"", ""p7"", ""p8"", ""p9""]",,,,,
39,DEVICES_WITH_SAME_VRF_VRF_ISP,L2,devices_with_same_vrf,set,VRF_ISP VRF를 사용하는 장비 목록을 알려주세요. [답변 형식: 리스트],"[""pe7""]",,,,,
40,L2VPN_PAIRS,L2,l2vpn_pairs,set,"구성된 L2VPN pseudowire 회선(장비쌍) 목록을 알려주세요. [답변 형식: ['A<->B', ...]]",[],,,,,
41,OSPF_AREA0_IF_COUNT_p12,L2,ospf_area0_if_count,number,p12 장비의 OSPF Area 0에 연결된 인터페이스는 총 몇 개입니까? [답변 형식: 숫자],0,,,,,
42,OSPF_AREA_MEMBERSHIP_1,L2,ospf_area_membership,set,OSPF Area 1에 속한 장비 목록을 알려주세요. [답변 형식: 리스트],"[""asbr1"", ""asbr2"", ""p10"", ""p9"", ""pe5"", ""pe6""]",,,,,
43,OSPF_NEIGHBOR_COUNT_PER_AREA_2,L2,ospf_neighbor_count_per_area,number,OSPF Area 2의 이웃 관계는 총 몇 개입니까? [답변 형식: 숫자],0,,,,,
44,SSH_ENABLED_DEVICES,L2,ssh_enabled_devices,set,SSH 접속이 가능한 장비 목록을 알려주세요. [답변 형식: 리스트],"[""asbr1"", ""asbr2"", ""fw1"", ""fw2"", ""leaf1"", ""leaf10"", ""leaf11"", ""leaf12"", ""leaf13"", ""leaf14"", ""leaf15"", ""leaf16"", ""leaf2"", ""leaf3"", ""leaf4"", ""leaf5"", ""leaf6"", ""leaf7"", ""leaf8"", ""leaf9"", ""p1"", ""p10"", ""p11"", ""p12"", ""p2"", ""p3"", ""p4"", ""p5"", ""p6"", ""p7"", ""p8"", ""p9"", ""pe1"", ""pe2"", ""pe3"", ""pe4"", ""pe5"", ""pe6"", ""pe7"", ""pe8""]",,,,,
45,SSH_MISSING_COUNT,L2,ssh_missing_count,number,SSH 접속이 불가능한 장비는 총 몇 대입니까? [답변 형식: 숫자],0,,,,,
46,SSH_MISSING_DEVICES,L2,ssh_missing_devices,set,SSH 접속이 불가능한 장비 목록을 알려주세요. [답변 형식: 리스트],[],,,,,
47,ALL_DEVICES_SAME_AS,L3,all_devices_same_as,text,"모든 장비의 BGP AS 번호를 나열해주세요. BGP가 미설정된 장비는 'AS None'으로 표시하세요. [답변 형식: '장비1: AS X, 장비2: AS None, ...']","""asbr1: AS 65001, asbr2: AS 65001, fw1: AS 65002, fw2: AS 65002, leaf1: AS N/A, leaf10: AS N/A, leaf11: AS N/A, leaf12: AS N/A, leaf13: AS N/A, leaf14: AS N/A, leaf15: AS N/A, leaf16: AS N/A, leaf2: AS N/A, leaf3: AS N/A, leaf4: AS N/A, leaf5: AS N/A, leaf6: AS N/A, leaf7: AS N/A, leaf8: AS N/A, leaf9: AS N/A, p1: AS N/A, p10: AS N/A, p11: AS N/A, p12: AS N/A, p2: AS N/A, p3: AS N/A, p4: AS N/A, p5: AS N/A, p6: AS N/A, p7: AS 65000, p8: AS 65000, p9: AS N/A, pe1: AS 65000, pe2: AS 65000, pe3: AS 65000, pe4: AS 65000, pe5: AS 65001, pe6: AS 65001, pe7: AS 65002, pe8: AS 65002""",,,,,
48,BGP_AS_DISTRIBUTION,L3,bgp_as_distribution,text,"각 AS별 장비 수 분포를 알려주세요. [답변 형식: 'AS X: N대, AS Y: M대']","""AS 65000: 6 devices, AS 65001: 4 devices, AS 65002: 4 devices""",,,,,
49,COMPARE_BGP_AS_p4_pe1,L3,compare_bgp_as,text,"p4와 pe1의 BGP Local AS 번호를 각각 알려주세요. [답변 형식: 'p4: AS X, pe1: AS Y']","""p4: AS N/A, pe1: AS 65000""",,,,,
50,COMPARE_BGP_NEIGHBOR_COUNT_leaf4_p11,L3,compare_bgp_neighbor_count,map_str_int,"leaf4와 p11의 BGP 피어 수를 비교하세요. [답변 형식: JSON {{""host1_count"": <int>, ""host2_count"": <int>, ""difference"": <int>}}]","{""difference"": 0, ""host1_count"": 0, ""host2_count"": 0}",,,,,
51,COMPARE_INTERFACE_COUNT_leaf11_leaf7,L3,compare_interface_count,map_str_int,"leaf11과 leaf7의 인터페이스 수를 비교하세요. [답변 형식: JSON {{""host1_count"": <int>, ""host2_count"": <int>, ""difference"": <int>}}]","{""difference"": 0, ""host1_count"": 2, ""host2_count"": 2}",,,,,
52,COMPARE_OSPF_AREAS_asbr2_leaf11,L3,compare_ospf_areas,text,"asbr2와 leaf11가 참여하는 OSPF Area 목록을 각각 알려주세요. [답변 형식: 'asbr2: Area 0, 1, leaf11: Area 0, 2']","""asbr2: Area 0, 1, 2, leaf11: Area None""",,,,,
53,COMPARE_VRF_COUNT_leaf15_p3,L3,compare_vrf_count,map_str_int,"leaf15와 p3의 VRF 수를 비교하세요. [답변 형식: JSON {{""host1_count"": <int>, ""host2_count"": <int>, ""difference"": <int>}}]","{""difference"": 0, ""host1_count"": 0, ""host2_count"": 0}",,,,,
54,IBGP_MISSING_PAIRS_65001,L3,ibgp_missing_pairs,set,AS 65001의 iBGP Full-Mesh에서 누락된 장비쌍 목록을 알려주세요. [답변 형식: 리스트],[],,,,,
55,IBGP_MISSING_PAIRS_65002,L3,ibgp_missing_pairs,set,AS 65002의 iBGP Full-Mesh에서 누락된 장비쌍 목록을 알려주세요. [답변 형식: 리스트],"[""fw1<->fw2"", ""fw1<->pe7"", ""fw1<->pe8"", ""fw2<->pe7"", ""fw2<->pe8"", ""pe7<->pe8""]",,,,,
56,IBGP_MISSING_PAIRS_COUNT_65000,L3,ibgp_missing_pairs_count,number,AS 65000의 iBGP Full-Mesh에서 누락된 링크는 총 몇 개입니까? [답변 형식: 숫자],11,,,,,
57,IBGP_MISSING_PAIRS_COUNT_65001,L3,ibgp_missing_pairs_count,number,AS 65001의 iBGP Full-Mesh에서 누락된 링크는 총 몇 개입니까? [답변 형식: 숫자],0,,,,,
58,IBGP_UNDER_PEERED_COUNT_65000,L3,ibgp_under_peered_count,number,AS 65000에서 iBGP 피어 수가 부족한 장비는 총 몇 대입니까? [답변 형식: 숫자],6,,,,,
59,IBGP_UNDER_PEERED_COUNT_65001,L3,ibgp_under_peered_count,number,AS 65001에서 iBGP 피어 수가 부족한 장비는 총 몇 대입니까? [답변 형식: 숫자],0,,,,,
60,IBGP_UNDER_PEERED_DEVICES_65000,L3,ibgp_under_peered_devices,set,AS 65000에서 iBGP 피어 수가 부족한 장비 목록을 알려주세요. [답변 형식: 리스트],"[""p7"", ""p8"", ""pe1"", ""pe2"", ""pe3"", ""pe4""]",,,,,
61,IBGP_UNDER_PEERED_DEVICES_65001,L3,ibgp_under_peered_devices,set,AS 65001에서 iBGP 피어 수가 부족한 장비 목록을 알려주세요. [답변 형식: 리스트],[],,,,,
62,L2VPN_MISMATCH_COUNT,L3,l2vpn_mismatch_count,number,PW-ID 불일치 또는 단방향 L2VPN 회선은 총 몇 개입니까? [답변 형식: 숫자],0,,,,,
63,L2VPN_PWID_MISMATCH_PAIRS,L3,l2vpn_pwid_mismatch_pairs,set,PW-ID가 불일치하는 L2VPN 회선(장비쌍) 목록을 알려주세요. [답변 형식: 리스트],[],,,,,
64,L2VPN_UNIDIRECTIONAL_PAIRS,L3,l2vpn_unidirectional_pairs,set,단방향으로만 설정된 L2VPN 회선(장비쌍) 목록을 알려주세요. [답변 형식: 리스트],[],,,,,
65,L2VPN_UNIDIR_COUNT,L3,l2vpn_unidir_count,number,단방향으로만 설정된 L2VPN 회선은 총 몇 개입니까? [답변 형식: 숫자],0,,,,,
66,MAX_BGP_PEER_DEVICE,L3,max_bgp_peer_device,text,BGP 피어가 가장 많은 장비와 그 개수를 알려주세요. [답변 형식: '장비명: N개'],"""asbr1: 5""",,,,,
67,MAX_INTERFACE_DEVICE,L3,max_interface_device,text,인터페이스 수가 가장 많은 장비와 그 개수를 알려주세요. [답변 형식: '장비명: N개'],"""pe6: 8""",,,,,
68,MIN_INTERFACE_DEVICE,L3,min_interface_device,text,인터페이스 수가 가장 적은 장비와 그 개수를 알려주세요. [답변 형식: '장비명: N개'],"""leaf1: 2""",,,,,
69,VRF_RT_LIST_PER_DEVICE_p5,L3,vrf_rt_list_per_device,set,p5 장비에 설정된 route-target(중복 제거) 전체 목록을 알려주세요. [답변 형식: 리스트],[],,,,,
70,VRF_RT_LIST_PER_DEVICE_pe4,L3,vrf_rt_list_per_device,set,pe4 장비에 설정된 route-target(중복 제거) 전체 목록을 알려주세요. [답변 형식: 리스트],"[""65000:100"", ""65000:200"", ""65000:300""]",,,,,
71,VRF_USAGE_STATISTICS,L3,vrf_usage_statistics,text,"VRF 사용중인 장비 중에서 각 장비별 VRF 사용 수를 알려주세요. [답변 형식: '장비1: N개, 장비2: M개']","""asbr1: 0, asbr2: 0, fw1: 0, fw2: 0, leaf1: 0, leaf10: 0, leaf11: 0, leaf12: 0, leaf13: 0, leaf14: 0, leaf15: 0, leaf16: 0, leaf2: 0, leaf3: 0, leaf4: 0, leaf5: 0, leaf6: 0, leaf7: 0, leaf8: 0, leaf9: 0, p1: 0, p10: 0, p11: 0, p12: 0, p2: 0, p3: 0, p4: 0, p5: 0, p6: 0, p7: 0, p8: 0, p9: 0, pe1: 3, pe2: 3, pe3: 3, pe4: 3, pe5: 2, pe6: 2, pe7: 2, pe8: 2""",,,,,
72,VRF_WITHOUT_RT_COUNT,L3,vrf_without_rt_count,number,route-target이 없는 VRF(장비/VRF)는 총 몇 개입니까? [답변 형식: 숫자],1,,,,,
73,VRF_WITHOUT_RT_PAIRS,L3,vrf_without_rt_pairs,set,route-target이 없는 VRF(장비/VRF) 목록을 알려주세요. [답변 형식: 리스트],"[""pe8/VRF_ISP_BROKEN""]",,,,,
