#,qa_id,level,metric,answer_type,question,dataset_answer,my_result,verdict,memo
13,ISOLATION_VRF_HPC_default,L4,leaked_prefixes_list,set,"VRF_HPC과 default 사이에 누수된 prefix 목록은 무엇입니까? [답변 형식: prefix 목록 (예: [""10.10.10.0/24""]) 또는 빈 목록 []]",[],,,
14,LOOP_DETECTION_GLOBAL,L4,loop_detection,text,네트워크에 포워딩 루프가 존재합니까? [답변 형식: '없음' 또는 '발견: A→B→C→A'],"""없음""",,,
15,REACH_leaf1_p4_TCP,L4,reachability_status,text,"172.16.1.2에서 10.0.0.5(22/TCP)로의 트래픽 경로와 도달 여부를 알려주세요. [답변 형식: '경로: A → B → C, 도달: 가능' 또는 '경로: ..., 도달: 불가 (원인: NO_ROUTE, ACL_DENY, EXTERNAL 중 택1)']","""경로: leaf1 → pe1, 도달: 불가 (원인: NO_ROUTE)""",,,
16,REACH_leaf2_p4_ICMP,L4,reachability_status,text,"172.16.2.2에서 10.0.0.5(0/ICMP)로의 트래픽 경로와 도달 여부를 알려주세요. [답변 형식: '경로: A → B → C, 도달: 가능' 또는 '경로: ..., 도달: 불가 (원인: NO_ROUTE, ACL_DENY, EXTERNAL 중 택1)']","""경로: leaf2 → pe1, 도달: 불가 (원인: NO_ROUTE)""",,,
17,REACH_p4_p3_ICMP,L4,reachability_status,text,"10.0.0.5에서 10.0.0.3(0/ICMP)로의 트래픽 경로와 도달 여부를 알려주세요. [답변 형식: '경로: A → B → C, 도달: 가능' 또는 '경로: ..., 도달: 불가 (원인: NO_ROUTE, ACL_DENY, EXTERNAL 중 택1)']","""경로: p4 → p3, 도달: 가능""",,,
18,TRACEROUTE_leaf4_leaf3,L4,traceroute_path,text,172.16.4.2에서 172.16.3.2까지의 네트워크 경로(장비 순서)를 나열해주세요. [답변 형식: 화살표(→)로 구분된 장비이름 목록(IP 주소 아님)],"""leaf4 → pe2""",,,
19,TRACEROUTE_leaf4_p4,L4,traceroute_path,text,172.16.4.2에서 10.0.0.5까지의 네트워크 경로(장비 순서)를 나열해주세요. [답변 형식: 화살표(→)로 구분된 장비이름 목록(IP 주소 아님)],"""leaf4 → pe2""",,,
20,TRACEROUTE_pe2_leaf3,L4,traceroute_path,text,10.0.1.3에서 172.16.3.2까지의 네트워크 경로(장비 순서)를 나열해주세요. [답변 형식: 화살표(→)로 구분된 장비이름 목록(IP 주소 아님)],"""pe2""",,,
21,WAYPOINT_leaf1_p3_leaf1,L4,waypoint_traversal_path,text,172.16.1.2에서 10.0.0.3로 가는 트래픽이 leaf1를 경유할 때의 전체 경로는 무엇입니까? [답변 형식: 'A → B → C' 형식 또는 '경유하지 않음'],"""leaf1 → pe1""",,,
22,WAYPOINT_leaf1_p3_leaf2,L4,waypoint_traversal_path,text,172.16.1.2에서 10.0.0.3로 가는 트래픽이 leaf2를 경유할 때의 전체 경로는 무엇입니까? [답변 형식: 'A → B → C' 형식 또는 '경유하지 않음'],"""경유하지 않음""",,,
23,WAYPOINT_leaf1_p3_leaf4,L4,waypoint_traversal_path,text,172.16.1.2에서 10.0.0.3로 가는 트래픽이 leaf4를 경유할 때의 전체 경로는 무엇입니까? [답변 형식: 'A → B → C' 형식 또는 '경유하지 않음'],"""경유하지 않음""",,,
24,CONFIG_CHANGE_BASELINE,L5,config_change_impact,text,"설정 변경 후 leaf1에서 p3까지의 경로/도달성 변경 여부를 알려주세요. [답변 형식: 'NO_CHANGE' 또는 'CHANGED (N건: 흐름1, 흐름2, ...)']","""CHANGED (25건: 10.10.1.1→10.10.10.32, 172.16.1.3→10.10.10.32, 192.168.100.2→10.10.10.32)""",,,
25,DIFF_REACH_BASELINE,L5,differential_reachability,text,"변경 전후 leaf1에서 p3로의 도달성에 차이가 있습니까? [답변 형식: 'NO_DIFF' 또는 'DIFF (N건: 흐름1, 흐름2, ...)']","""NO_DIFF""",,,
26,DUAL_FAILURE_leaf1_leaf2,L5,redundancy_verification,text,'leaf1'과 'leaf2'가 동시에 다운되면 고립되는 흐름이 있습니까? 몇 개입니까? [답변 형식: '없음' 또는 'N개'],"""15개""",,,
27,DUAL_FAILURE_leaf3_leaf4,L5,redundancy_verification,text,'leaf3'과 'leaf4'가 동시에 다운되면 고립되는 흐름이 있습니까? 몇 개입니까? [답변 형식: '없음' 또는 'N개'],"""18개""",,,
28,DUAL_FAILURE_p1_p2,L5,redundancy_verification,text,'p1'과 'p2'가 동시에 다운되면 고립되는 흐름이 있습니까? 몇 개입니까? [답변 형식: '없음' 또는 'N개'],"""17개""",,,
29,K_FAILURE_leaf1_p3,L5,redundant_paths_list,set,"leaf1에서 10.0.0.3로 가는 대체 경로들을 모두 나열해주세요. [답변 형식: 경로 목록 (예: [""A→B→C"", ""A→D→C""])]","[""leaf1 → pe1"", ""leaf1""]",,,
30,MULTI_FAIL_leaf1_p1_leaf2_p4,L5,multi_link_failure_reachability,text,(시나리오) 'leaf1-p1' 링크와 'leaf2-p4' 링크가 동시에 다운되었습니다. 이 상황에서 'leaf4'에서 'p3'로의 트래픽 전달이 가능합니까? [답변 형식: '가능 (대체경로: A→B→C)' 또는 '불가능 (원인: 장비명에서 사유)'],"""불가능 (원인: pe2에서 NO_ROUTE)""",,,
31,MULTI_FAIL_leaf1_pe1_leaf2_leaf3,L5,multi_link_failure_reachability,text,(시나리오) 'leaf1-pe1' 링크와 'leaf2-leaf3' 링크가 동시에 다운되었습니다. 이 상황에서 'leaf4'에서 'p3'로의 트래픽 전달이 가능합니까? [답변 형식: '가능 (대체경로: A→B→C)' 또는 '불가능 (원인: 장비명에서 사유)'],"""불가능 (원인: pe2에서 NO_ROUTE)""",,,
32,MULTI_FAIL_leaf1_pe2_leaf3_p4,L5,multi_link_failure_reachability,text,(시나리오) 'leaf1-pe2' 링크와 'leaf3-p4' 링크가 동시에 다운되었습니다. 이 상황에서 'leaf2'에서 'p3'로의 트래픽 전달이 가능합니까? [답변 형식: '가능 (대체경로: A→B→C)' 또는 '불가능 (원인: 장비명에서 사유)'],"""불가능 (원인: pe1에서 NO_ROUTE)""",,,
33,NEGATIVE_TEST_FAKE_NODE,L5,non_existent_node_check,number,'non_existent_router_999' 장비가 다운되면 몇 개의 트래픽 흐름이 차단됩니까? [답변 형식: 숫자],0,,,
34,NODE_FAILURE_leaf1,L5,node_failure_impact,number,'leaf1' 장비가 다운되면 몇 개의 트래픽 흐름이 새로 차단됩니까? [답변 형식: 숫자],16,,,
35,NODE_FAILURE_leaf2,L5,node_failure_impact,number,'leaf2' 장비가 다운되면 몇 개의 트래픽 흐름이 새로 차단됩니까? [답변 형식: 숫자],17,,,
36,NODE_FAILURE_leaf4,L5,node_failure_impact,number,'leaf4' 장비가 다운되면 몇 개의 트래픽 흐름이 새로 차단됩니까? [답변 형식: 숫자],18,,,
37,OSPF_AREA0_ROUTERS_GLOBAL,L5,ospf_area0_routers,set,"OSPF Backbone Area(Area 0)에 속한 라우터 목록은 무엇입니까? [답변 형식: 라우터 이름 목록 (예: [""spine1"", ""spine2"", ""p1""])]","[""p1"", ""p2"", ""p3"", ""p4"", ""pe1""]",,,
38,POLICY_COMPLIANCE_leaf1,L5,policy_compliance_check,text,"'MANDATORY_WAYPOINT_leaf1' 정책 준수 여부와 위반 사례를 알려주세요. [답변 형식: 'COMPLIANT' 또는 'VIOLATION: 흐름1, 흐름2, ...']","""VIOLATION: 10.10.1.1→8.8.8.8, 172.16.1.3→8.8.8.8, 192.168.100.2→8.8.8.8""",,,
39,ROOT_CAUSE_leaf4_leaf3,L5,root_cause_analysis,text,"leaf4에서 leaf3로의 통신이 실패할 때, 어느 장비에서 차단됩니까? [답변 형식: 장비명]","""pe2""",,,
40,ROOT_CAUSE_leaf4_p4,L5,root_cause_analysis,text,"leaf4에서 p4로의 통신이 실패할 때, 어느 장비에서 차단됩니까? [답변 형식: 장비명]","""pe2""",,,
41,ROOT_CAUSE_pe2_leaf3,L5,root_cause_analysis,text,"pe2에서 leaf3로의 통신이 실패할 때, 어느 장비에서 차단됩니까? [답변 형식: 장비명]","""pe2""",,,
42,SPOF_DETECTION_GLOBAL,L5,spof_detection,set_str,"단일 장비 장애 시 통신이 두절되는 구간(SPOF: Single Point of Failure)이 존재합니까? [답변 형식: SPOF 장비 목록 (예: [""p1"", ""pe1""]) 또는 빈 목록 []]",[],,,
43,TRIPLE_FAILURE_leaf1_leaf2_leaf3,L5,triple_node_failure,text,"'leaf1', 'leaf2', 'leaf3'가 동시에 다운되면 네트워크가 완전히 분리됩니까? [답변 형식: '예, 완전 분리' 또는 '아니오, N개 흐름만 영향']","""아니오, 15개 흐름만 영향""",,,
44,WORST_CASE_FAILURE,L5,worst_case_failure_analysis,text,단일 장비 장애 시 가장 큰 영향을 주는 장비는? [답변 형식: '장비명 (N개)'],"""p2 (19개)""",,,
