#,qa_id,level,metric,answer_type,question,dataset_answer,my_result,verdict,memo
25,DIFF_REACH_BASELINE,L5,differential_reachability,text,"변경 전후 leaf6에서 p7로의 도달성에 차이가 있습니까? [답변 형식: 'NO_DIFF' 또는 'DIFF (N건: 흐름1, 흐름2, ...)']","""NO_DIFF""",,,
26,DUAL_FAILURE_leaf1_leaf2,L5,redundancy_verification,text,leaf1과 leaf2가 동시에 다운되면 고립되는 흐름이 있습니까? 몇 개입니까? [답변 형식: 'NONE' 또는 숫자],"""29""",,,
27,DUAL_FAILURE_leaf3_leaf4,L5,redundancy_verification,text,leaf3과 leaf4가 동시에 다운되면 고립되는 흐름이 있습니까? 몇 개입니까? [답변 형식: 'NONE' 또는 숫자],"""29""",,,
28,DUAL_FAILURE_leaf5_leaf6,L5,redundancy_verification,text,leaf5와 leaf6가 동시에 다운되면 고립되는 흐름이 있습니까? 몇 개입니까? [답변 형식: 'NONE' 또는 숫자],"""29""",,,
29,K_FAILURE_leaf6_p7,L5,redundant_paths_list,set,"leaf6에서 10.0.15.1로 가는 대체 경로들을 모두 나열해주세요. [답변 형식: 경로 목록 (예: [""A→B→C"", ""A→D→C""])]","[""leaf6 → pe3""]",,,
30,MULTI_FAIL_leaf1_leaf7_leaf2_leaf3,L5,multi_link_failure_reachability,text,(시나리오) 'leaf1-leaf7' 링크와 'leaf2-leaf3' 링크가 동시에 다운되었습니다. 이 상황에서 'leaf6'에서 'p7'로의 트래픽 전달이 가능합니까? [답변 형식: 'REROUTED (path: A→B→C)' 또는 'DISCONNECTED (reason: ...)'],"""DISCONNECTED (reason: NO_ROUTE at pe3)""",,,
31,MULTI_FAIL_leaf1_pe1_leaf2_leaf7,L5,multi_link_failure_reachability,text,(시나리오) 'leaf1-pe1' 링크와 'leaf2-leaf7' 링크가 동시에 다운되었습니다. 이 상황에서 'leaf6'에서 'p7'로의 트래픽 전달이 가능합니까? [답변 형식: 'REROUTED (path: A→B→C)' 또는 'DISCONNECTED (reason: ...)'],"""DISCONNECTED (reason: NO_ROUTE at pe3)""",,,
32,MULTI_FAIL_leaf1_pe3_leaf2_leaf4,L5,multi_link_failure_reachability,text,(시나리오) 'leaf1-pe3' 링크와 'leaf2-leaf4' 링크가 동시에 다운되었습니다. 이 상황에서 'leaf6'에서 'p7'로의 트래픽 전달이 가능합니까? [답변 형식: 'REROUTED (path: A→B→C)' 또는 'DISCONNECTED (reason: ...)'],"""DISCONNECTED (reason: NO_ROUTE at pe3)""",,,
33,NEGATIVE_TEST_FAKE_NODE,L5,non_existent_node_check,number,non_existent_router_999 장비가 다운되면 몇 개의 트래픽 흐름이 차단됩니까? [답변 형식: 숫자],0,,,
34,NODE_FAILURE_leaf6,L5,node_failure_impact,number,leaf6 장비가 다운되면 몇 개의 트래픽 흐름이 새로 차단됩니까? [답변 형식: 숫자],29,,,
35,NODE_FAILURE_p3,L5,node_failure_impact,number,p3 장비가 다운되면 몇 개의 트래픽 흐름이 새로 차단됩니까? [답변 형식: 숫자],30,,,
36,NODE_FAILURE_p5,L5,node_failure_impact,number,p5 장비가 다운되면 몇 개의 트래픽 흐름이 새로 차단됩니까? [답변 형식: 숫자],30,,,
37,OSPF_AREA0_ROUTERS_GLOBAL,L5,ospf_area0_routers,set,"OSPF Backbone Area(Area 0)에 속한 라우터 목록은 무엇입니까? [답변 형식: 라우터 이름 목록 (예: [""spine1"", ""spine2"", ""p1""])]","[""p1"", ""p4"", ""p7"", ""pe1"", ""pe2""]",,,
38,POLICY_COMPLIANCE_leaf6,L5,policy_compliance_check,text,"'MANDATORY_WAYPOINT_leaf6' 정책 준수 여부와 위반 사례를 알려주세요. [답변 형식: 'COMPLIANT' 또는 'VIOLATION: 흐름1, 흐름2, ...']","""VIOLATION: 10.10.10.31 -> 10.10.10.0, 172.16.1.3 -> 10.10.10.0, 10.10.10.1 -> 10.10.10.0""",,,
39,ROOT_CAUSE_leaf1_p4,L5,root_cause_analysis,text,"leaf1에서 p4로의 통신이 실패할 때, 어느 장비에서 차단됩니까? [답변 형식: 장비명]","""pe1""",,,
40,ROOT_CAUSE_leaf6_p3,L5,root_cause_analysis,text,"leaf6에서 p3로의 통신이 실패할 때, 어느 장비에서 차단됩니까? [답변 형식: 장비명]","""pe3""",,,
41,ROOT_CAUSE_leaf6_pe1,L5,root_cause_analysis,text,"leaf6에서 pe1로의 통신이 실패할 때, 어느 장비에서 차단됩니까? [답변 형식: 장비명]","""pe3""",,,
42,SPOF_DETECTION_GLOBAL,L5,spof_detection,set_str,"단일 장비 장애 시 통신이 두절되는 구간(SPOF: Single Point of Failure)이 존재합니까? [답변 형식: SPOF 장비 목록 (예: [""p1"", ""pe1""]) 또는 빈 목록 []]","[""pe3""]",,,
43,TRIPLE_FAILURE_leaf1_leaf2_leaf3,L5,triple_node_failure,text,"leaf1, leaf2, leaf3가 동시에 다운되면 네트워크가 완전히 분리됩니까? [답변 형식: 'YES' 또는 'NO (affected_flows: N)']","""NO (affected_flows: 29)""",,,
44,WORST_CASE_FAILURE,L5,worst_case_failure_analysis,text,단일 장비 장애 시 가장 큰 영향을 주는 장비는? [답변 형식: 'device_name (N)'],"""p3(30)""",,,
